"FC"	"Gene.Name"	"Gene.ID"	"P.Value"	"dataset"
-1.75181880101351	"OLR1"	"4973"	9.99553820032102e-05	"E.Br.24h.1"
-1.54286470161353	"HMGCR"	"3156"	0.000243419535373202	"E.Br.24h.1"
-1.76904698545289	"F3"	"2152"	7.47049450651901e-05	"E.Br.24h.1"
-1.48587128702278	"RORA"	"6095"	0.0922052361539386	"E.Br.24h.2"
-1.48587128702278	"RORA"	"6095"	0.0922052361539386	"E.Br.24h.3"
-1.54350152951647	"PDGFC"	"56034"	0.000204786608142075	"E.Corn.6h.1"
-1.41472732640326	"F3"	"2152"	0.000774935387254751	"E.Corn.6h.1"
-1.59785648500552	"SAMD9"	"54809"	0.0284277755170544	"E.Liv.36h.1"
-1.6235728819443	"MNDA"	"4332"	0.0444576977655071	"E.Liv.36h.1"
-1.99135822667506	"RHOA"	"387"	0.0265068878982681	"E.Liv.8h.1"
-1.49814103411728	"FCGR2A"	"2212"	0.050357095674124	"E.Liv.8h.1"
-1.53605564553527	"CXCL16"	"58191"	0.00904708864513734	"E.Liv.8h.1"
-1.35479578445945	"TNFSF15"	"9966"	0.0235228748295883	"E.Lu.24h.1"
-1.44635815667988	"ITGAV"	"3685"	0.00223448194118501	"E.Lu.24h.1"
-1.52452709401882	"WNT5A"	"7474"	0.00163802667229057	"E.Pan.3d.1"
-2.88639301060017	"VCAM1"	"7412"	3.44013695831134e-05	"E.Pan.3d.1"
-1.54088497180398	"UCP2"	"7351"	0.00477964754913113	"E.Pan.3d.1"
-1.55457386682872	"TNFSF12"	"8742"	0.0268602527311289	"E.Pan.3d.1"
-1.65926921683432	"SERPINE1"	"5054"	0.00035797478922366	"E.Pan.3d.1"
-1.64313376059461	"SCD"	"6319"	0.00278325053948277	"E.Pan.3d.1"
-1.64502900584626	"PTX3"	"5806"	0.0254257641825156	"E.Pan.3d.1"
-2.29205779803459	"PPARG"	"5468"	1.2582340672455e-05	"E.Pan.3d.1"
-2.27626567566652	"PLAU"	"5328"	0.00217871087640308	"E.Pan.3d.1"
-1.77143935010161	"PDGFD"	"80310"	0.0308492495356252	"E.Pan.3d.1"
-1.79351322441182	"PDGFC"	"56034"	0.0333201557954468	"E.Pan.3d.1"
-2.37033894026437	"PAPPA"	"5069"	0.000172608256132536	"E.Pan.3d.1"
-2.15954493767109	"MMP2"	"4313"	2.53839276315118e-05	"E.Pan.3d.1"
-2.2590211633463	"LPL"	"4023"	6.96240397429529e-07	"E.Pan.3d.1"
-1.51053829868995	"LGALS1"	"3956"	0.001950263081552	"E.Pan.3d.1"
-3.9368943293105	"IGFBP3"	"3486"	1.30936856656666e-05	"E.Pan.3d.1"
-2.28161153103402	"IGF1"	"3479"	0.000324122574826113	"E.Pan.3d.1"
-2.14890265847508	"GAS6"	"2621"	0.00392353196332671	"E.Pan.3d.1"
-2.36362546969659	"CACNA1C"	"775"	0.00297127562872494	"E.Pan.3d.1"
-2.22690350840442	"APOE"	"348"	0.00526915092337753	"E.Pan.3d.1"
-4.13190981105797	"ADM"	"133"	1.70042419860334e-06	"E.Pan.3d.1"
-1.63154683615506	"ADAMTS4"	"9507"	0.00896483313947439	"E.Pan.3d.1"
-4.10278788868284	"ACTA2"	"59"	4.00609060610734e-07	"E.Pan.3d.1"
-2.03980638878907	"ABCA1"	"19"	0.000198876839623649	"E.Pan.3d.1"
-4.83527302513769	"VCAM1"	"7412"	6.77918658103788e-06	"E.Pan.7d.1"
-1.61636351280247	"UCP2"	"7351"	0.0154733900990913	"E.Pan.7d.1"
-2.6036692315068	"SERPINE1"	"5054"	8.17577064946217e-06	"E.Pan.7d.1"
-2.27437398247246	"SCD"	"6319"	0.00159582562052615	"E.Pan.7d.1"
-1.73331810384061	"PTX3"	"5806"	0.0468170886857425	"E.Pan.7d.1"
-3.34493966104252	"PPARG"	"5468"	5.91414042985561e-05	"E.Pan.7d.1"
-2.98843443403476	"PLAU"	"5328"	0.000622435507472969	"E.Pan.7d.1"
