"FC"	"Gene.Name"	"Gene.ID"	"P.Value"	"dataset"
2.33271716066007	"VWF"	"7450"	1	"E.Br.20h.1"
2.07885184757703	"VEGFA"	"7422"	1	"E.Br.20h.1"
2.30392357136428	"VCAM1"	"7412"	1	"E.Br.20h.1"
2.0822232627048	"UTS2"	"10911"	1	"E.Br.20h.1"
2.20291531620069	"TNF"	"7124"	1	"E.Br.20h.1"
2.05584532012527	"TLR4"	"7099"	1	"E.Br.20h.1"
3.95095427168241	"THBD"	"7056"	1	"E.Br.20h.1"
2.01479184881139	"TFPI"	"7035"	1	"E.Br.20h.1"
2.06541176121205	"SIRT1"	"23411"	1	"E.Br.20h.1"
2.25418030816794	"SERPINE1"	"5054"	1	"E.Br.20h.1"
2.08297820594036	"SCD"	"6319"	1	"E.Br.20h.1"
2.13318438952046	"RSAD2"	"91543"	1	"E.Br.20h.1"
2.17515497677235	"RORA"	"6095"	1	"E.Br.20h.1"
2.14844707177961	"ROCK1"	"6093"	1	"E.Br.20h.1"
2.06548814828285	"RNASE3"	"6037"	1	"E.Br.20h.1"
2.00392522595207	"RETN"	"56729"	1	"E.Br.20h.1"
2.10885663441198	"PTX3"	"5806"	1	"E.Br.20h.1"
2.05762849877013	"PRKCZ"	"5590"	1	"E.Br.20h.1"
2.01498183789285	"PPARG"	"5468"	1	"E.Br.20h.1"
2.25823478404303	"PON2"	"5445"	1	"E.Br.20h.1"
2.79288687018	"PLAUR"	"5329"	1	"E.Br.20h.1"
2.15948937987787	"PLA2G7"	"7941"	1	"E.Br.20h.1"
2.33732982815297	"PAPPA"	"5069"	1	"E.Br.20h.1"
3.02272322048643	"PALLD"	"23022"	1	"E.Br.20h.1"
2.17888453796126	"NOX1"	"27035"	1	"E.Br.20h.1"
2.09980705314388	"NGF"	"4803"	1	"E.Br.20h.1"
2.41347807860953	"NCEH1"	"57552"	1	"E.Br.20h.1"
2.27649709381764	"MTHFR"	"4524"	1	"E.Br.20h.1"
2.34930467650092	"MMP2"	"4313"	1	"E.Br.20h.1"
2.03210415464195	"MIF"	"4282"	1	"E.Br.20h.1"
3.13022481070895	"MERTK"	"10461"	1	"E.Br.20h.1"
2.2667087825469	"LTBR"	"4055"	1	"E.Br.20h.1"
2.18182043574942	"LRP6"	"4040"	1	"E.Br.20h.1"
2.53934809142963	"LPL"	"4023"	1	"E.Br.20h.1"
2.02834090626391	"LIPG"	"9388"	1	"E.Br.20h.1"
2.11291245303689	"LGALS2"	"3957"	1	"E.Br.20h.1"
2.05659677503865	"JAK2"	"3717"	1	"E.Br.20h.1"
2.78699415672485	"ITGA2"	"3673"	1	"E.Br.20h.1"
2.29990042596048	"IL6ST"	"3572"	1	"E.Br.20h.1"
2.5308063288637	"IL6"	"3569"	1	"E.Br.20h.1"
3.55299878770931	"IGFBP3"	"3486"	1	"E.Br.20h.1"
2.09235239344624	"HSPG2"	"3339"	1	"E.Br.20h.1"
2.01415312400839	"HSPD1"	"3329"	1	"E.Br.20h.1"
2.06072947022768	"HSPB1"	"3315"	1	"E.Br.20h.1"
2.06659321222676	"HMGCR"	"3156"	1	"E.Br.20h.1"
2.24982611741243	"GHRL"	"51738"	1	"E.Br.20h.1"
2.05831716111468	"FPR1"	"2357"	1	"E.Br.20h.1"
2.69145076769933	"F3"	"2152"	1	"E.Br.20h.1"
2.20489356567333	"EGF"	"1950"	1	"E.Br.20h.1"
2.08221837930272	"EDN1"	"1906"	1	"E.Br.20h.1"
2.16472369718556	"CYP27A1"	"1593"	1	"E.Br.20h.1"
2.88455234284821	"CYP19A1"	"1588"	1	"E.Br.20h.1"
2.33893792257069	"CXCR3"	"2833"	1	"E.Br.20h.1"
2.18003678158802	"CXCR2"	"3579"	1	"E.Br.20h.1"
2.18563350448934	"CXCL1"	"2919"	1	"E.Br.20h.1"
2.89329232180125	"CX3CL1"	"6376"	1	"E.Br.20h.1"
2.19303574730255	"CTSS"	"1520"	1	"E.Br.20h.1"
2.2894519238911	"CTSB"	"1508"	1	"E.Br.20h.1"
2.25226915302191	"CST3"	"1471"	1	"E.Br.20h.1"
2.22057477108716	"CSF1"	"1435"	1	"E.Br.20h.1"
3.02214664628947	"CPE"	"1363"	1	"E.Br.20h.1"
2.13620908182432	"CNR1"	"1268"	1	"E.Br.20h.1"
2.1914319573445	"CDKN1C"	"1028"	1	"E.Br.20h.1"
2.41461577404291	"CD86"	"942"	1	"E.Br.20h.1"
2.1018297368371	"CD40LG"	"959"	1	"E.Br.20h.1"
2.14420477763456	"CD40"	"958"	1	"E.Br.20h.1"
2.12368370163496	"CD163"	"9332"	1	"E.Br.20h.1"
2.09064892308581	"CCL5"	"6352"	1	"E.Br.20h.1"
2.0184357656601	"CCL23"	"6368"	1	"E.Br.20h.1"
2.23867202601785	"CA12"	"771"	1	"E.Br.20h.1"
2.20022542342482	"APOE"	"348"	1	"E.Br.20h.1"
2.21919037421902	"APH1B"	"83464"	1	"E.Br.20h.1"
2.224089199007	"ALOX5AP"	"241"	1	"E.Br.20h.1"
2.51736142322951	"AHSG"	"197"	1	"E.Br.20h.1"
2.25854668648297	"AHR"	"196"	1	"E.Br.20h.1"
2.04032976319629	"ADM"	"133"	1	"E.Br.20h.1"
2.32989697515076	"ADAM17"	"6868"	1	"E.Br.20h.1"
2.07843363892746	"ACTA2"	"59"	1	"E.Br.20h.1"
2.24495239195118	"ABCA1"	"19"	1	"E.Br.20h.1"
1.54140947183686	"XBP1"	"7494"	0.00138101566875475	"E.Br.24h.1"
1.51522766215014	"SCD"	"6319"	0.00054384555681075	"E.Br.24h.1"
3.9353941778773	"HMOX1"	"3162"	5.3526417306964e-07	"E.Br.24h.1"
2.25260964055863	"THBD"	"7056"	0.0779860688087309	"E.Br.24h.2"
1.58708061595558	"CYP19A1"	"1588"	0.0182623438990546	"E.Br.24h.2"
2.25260964055863	"THBD"	"7056"	0.0779860688087309	"E.Br.24h.3"
1.58708061595558	"CYP19A1"	"1588"	0.0182623438990546	"E.Br.24h.3"
1.3007414886044	"IL6"	"3569"	0.0591816235848864	"E.Br.30d.1"
1.44198730575902	"APOC1"	"341"	0.0677202750887394	"E.Br.30d.1"
1.81117254474593	"ADM"	"133"	0.0721111233118682	"E.Br.30d.1"
2.06270098597085	"VCAM1"	"7412"	1	"E.Br.50h.1"
2.03653819560629	"UTS2"	"10911"	1	"E.Br.50h.1"
2.51590884680921	"TNF"	"7124"	1	"E.Br.50h.1"
2.27892720365249	"TNC"	"3371"	1	"E.Br.50h.1"
2.13831242497236	"TLR4"	"7099"	1	"E.Br.50h.1"
11.0159554117456	"THBD"	"7056"	1	"E.Br.50h.1"
2.20445400195202	"TFPI"	"7035"	1	"E.Br.50h.1"
2.26493009517641	"ST8SIA1"	"6489"	1	"E.Br.50h.1"
2.25155068593469	"SIRT1"	"23411"	1	"E.Br.50h.1"
2.47164205914264	"SERPINE1"	"5054"	1	"E.Br.50h.1"
2.33709620853087	"SCD"	"6319"	1	"E.Br.50h.1"
2.0176103293168	"RSAD2"	"91543"	1	"E.Br.50h.1"
2.34303960668327	"RORA"	"6095"	1	"E.Br.50h.1"
2.20917477927633	"PTX3"	"5806"	1	"E.Br.50h.1"
2.06816690494243	"PTGS2"	"5743"	1	"E.Br.50h.1"
2.20064502484289	"PRKCZ"	"5590"	1	"E.Br.50h.1"
2.58700635332296	"PON2"	"5445"	1	"E.Br.50h.1"
3.36483639655326	"PLAUR"	"5329"	1	"E.Br.50h.1"
2.03026394066723	"PDGFC"	"56034"	1	"E.Br.50h.1"
2.23541086560282	"PAPPA"	"5069"	1	"E.Br.50h.1"
3.0568922190607	"PALLD"	"23022"	1	"E.Br.50h.1"
2.01718869583977	"OLR1"	"4973"	1	"E.Br.50h.1"
2.13000999205322	"NFE2L2"	"4780"	1	"E.Br.50h.1"
2.96032284552375	"NCEH1"	"57552"	1	"E.Br.50h.1"
2.16421574093481	"MTHFR"	"4524"	1	"E.Br.50h.1"
4.1360692341618	"MMP2"	"4313"	1	"E.Br.50h.1"
4.10649687274295	"MERTK"	"10461"	1	"E.Br.50h.1"
2.31720020820208	"LTBR"	"4055"	1	"E.Br.50h.1"
2.06850944175038	"LRP6"	"4040"	1	"E.Br.50h.1"
2.28239147628713	"LPL"	"4023"	1	"E.Br.50h.1"
2.28495157938028	"LIPG"	"9388"	1	"E.Br.50h.1"
2.1774031315446	"JAK2"	"3717"	1	"E.Br.50h.1"
2.08308343280363	"ITGAV"	"3685"	1	"E.Br.50h.1"
3.7162575431121	"ITGA2"	"3673"	1	"E.Br.50h.1"
2.52348196202839	"IL6ST"	"3572"	1	"E.Br.50h.1"
2.44058314550399	"IL6"	"3569"	1	"E.Br.50h.1"
4.96270829738744	"IGFBP3"	"3486"	1	"E.Br.50h.1"
2.17484283567202	"HSPD1"	"3329"	1	"E.Br.50h.1"
2.17466794620069	"HSPB1"	"3315"	1	"E.Br.50h.1"
2.59353710836204	"HMGCR"	"3156"	1	"E.Br.50h.1"
2.17569269315607	"FPR1"	"2357"	1	"E.Br.50h.1"
2.59209280838957	"F3"	"2152"	1	"E.Br.50h.1"
2.54149197949123	"EGF"	"1950"	1	"E.Br.50h.1"
2.13150181858557	"EDN1"	"1906"	1	"E.Br.50h.1"
2.09591865869933	"CYP27A1"	"1593"	1	"E.Br.50h.1"
2.05987003344224	"CYP19A1"	"1588"	1	"E.Br.50h.1"
2.35980151112463	"CXCR3"	"2833"	1	"E.Br.50h.1"
2.4082448329288	"CXCR2"	"3579"	1	"E.Br.50h.1"
2.96373280118412	"CX3CR1"	"1524"	1	"E.Br.50h.1"
3.5632034140827	"CX3CL1"	"6376"	1	"E.Br.50h.1"
2.39956373936236	"CTSS"	"1520"	1	"E.Br.50h.1"
2.15481019945118	"CTSB"	"1508"	1	"E.Br.50h.1"
2.0557996181994	"CST3"	"1471"	1	"E.Br.50h.1"
2.13190908255734	"CSF1"	"1435"	1	"E.Br.50h.1"
3.35866531485932	"CPE"	"1363"	1	"E.Br.50h.1"
2.28909034013904	"CNR1"	"1268"	1	"E.Br.50h.1"
2.29681343665342	"CDKN1C"	"1028"	1	"E.Br.50h.1"
2.18141034511414	"CD86"	"942"	1	"E.Br.50h.1"
2.2041595238997	"CD40"	"958"	1	"E.Br.50h.1"
2.21898059716742	"CD163"	"9332"	1	"E.Br.50h.1"
2.2376696054736	"CCL5"	"6352"	1	"E.Br.50h.1"
2.04147563788634	"CASP3"	"836"	1	"E.Br.50h.1"
2.07611975579451	"CA12"	"771"	1	"E.Br.50h.1"
2.22573630128615	"APH1B"	"83464"	1	"E.Br.50h.1"
2.11111052957097	"ALOX5AP"	"241"	1	"E.Br.50h.1"
2.23454455995539	"AHSG"	"197"	1	"E.Br.50h.1"
2.37091804130306	"AHR"	"196"	1	"E.Br.50h.1"
2.65853927079006	"ADM"	"133"	1	"E.Br.50h.1"
2.09961239087775	"ADAM17"	"6868"	1	"E.Br.50h.1"
2.283723879372	"ADAM10"	"102"	1	"E.Br.50h.1"
2.25134777465741	"ACTA2"	"59"	1	"E.Br.50h.1"
2.01152518375865	"ACE2"	"59272"	1	"E.Br.50h.1"
2.75668287010481	"ABCA1"	"19"	1	"E.Br.50h.1"
2.20970392487577	"VWF"	"7450"	1	"E.Br.8h.1"
2.08740383328814	"VEGFA"	"7422"	1	"E.Br.8h.1"
2.46820118617169	"VCAM1"	"7412"	1	"E.Br.8h.1"
2.02752966333293	"TXN"	"7295"	1	"E.Br.8h.1"
2.00547144962895	"TNFSF15"	"9966"	1	"E.Br.8h.1"
2.06114851649028	"TNF"	"7124"	1	"E.Br.8h.1"
2.12314272660041	"TNC"	"3371"	1	"E.Br.8h.1"
2.09289572829319	"TLR4"	"7099"	1	"E.Br.8h.1"
4.38316483024387	"THBD"	"7056"	1	"E.Br.8h.1"
2.14821630258065	"ST8SIA1"	"6489"	1	"E.Br.8h.1"
2.23212375849826	"SIRT1"	"23411"	1	"E.Br.8h.1"
2.36926930158192	"SERPINE1"	"5054"	1	"E.Br.8h.1"
2.11039187851663	"SCD"	"6319"	1	"E.Br.8h.1"
2.27128728535224	"RSAD2"	"91543"	1	"E.Br.8h.1"
2.23992804060952	"RORA"	"6095"	1	"E.Br.8h.1"
2.09886482669779	"ROCK1"	"6093"	1	"E.Br.8h.1"
2.06642647101428	"PTX3"	"5806"	1	"E.Br.8h.1"
2.05289887067333	"PTGS2"	"5743"	1	"E.Br.8h.1"
2.11508900021045	"PRKCZ"	"5590"	1	"E.Br.8h.1"
2.2245712138473	"PON2"	"5445"	1	"E.Br.8h.1"
2.05478372881199	"PLTP"	"5360"	1	"E.Br.8h.1"
2.98222253310155	"PLAUR"	"5329"	1	"E.Br.8h.1"
2.11342502028851	"PLA2G7"	"7941"	1	"E.Br.8h.1"
2.14998792100373	"PDGFC"	"56034"	1	"E.Br.8h.1"
2.22203423011129	"PAPPA"	"5069"	1	"E.Br.8h.1"
2.4071873438499	"PALLD"	"23022"	1	"E.Br.8h.1"
2.04932657828098	"NFE2L2"	"4780"	1	"E.Br.8h.1"
2.25273278916292	"NCEH1"	"57552"	1	"E.Br.8h.1"
2.12477625872094	"MTHFR"	"4524"	1	"E.Br.8h.1"
2.07905905560303	"MMP2"	"4313"	1	"E.Br.8h.1"
2.01031952770803	"MIF"	"4282"	1	"E.Br.8h.1"
2.65244310033096	"MERTK"	"10461"	1	"E.Br.8h.1"
2.16408531823307	"LTBR"	"4055"	1	"E.Br.8h.1"
2.14332311475222	"LRP6"	"4040"	1	"E.Br.8h.1"
2.12977087229248	"LIPG"	"9388"	1	"E.Br.8h.1"
2.13409583271274	"JAK2"	"3717"	1	"E.Br.8h.1"
2.78090627692122	"ITGA2"	"3673"	1	"E.Br.8h.1"
2.08017127497951	"IL6ST"	"3572"	1	"E.Br.8h.1"
2.11596049693298	"IL6"	"3569"	1	"E.Br.8h.1"
2.62583306502366	"IGFBP3"	"3486"	1	"E.Br.8h.1"
2.39536654652902	"HSPD1"	"3329"	1	"E.Br.8h.1"
2.01174559858793	"HPDL"	"84842"	1	"E.Br.8h.1"
2.02855582140667	"HNRNPC"	"3183"	1	"E.Br.8h.1"
2.19025692634846	"HMGCR"	"3156"	1	"E.Br.8h.1"
2.10684174738838	"FPR1"	"2357"	1	"E.Br.8h.1"
2.16506174479452	"F3"	"2152"	1	"E.Br.8h.1"
2.34409381126661	"EGF"	"1950"	1	"E.Br.8h.1"
2.05831816255883	"CYP27A1"	"1593"	1	"E.Br.8h.1"
2.0672730746089	"CYP19A1"	"1588"	1	"E.Br.8h.1"
2.31608882212978	"CXCR3"	"2833"	1	"E.Br.8h.1"
2.15579007154842	"CXCR2"	"3579"	1	"E.Br.8h.1"
2.1600151038384	"CXCL1"	"2919"	1	"E.Br.8h.1"
2.55542153427227	"CX3CR1"	"1524"	1	"E.Br.8h.1"
3.61227977124184	"CX3CL1"	"6376"	1	"E.Br.8h.1"
2.35631029851538	"CTSS"	"1520"	1	"E.Br.8h.1"
2.25668121123107	"CTSB"	"1508"	1	"E.Br.8h.1"
2.18869923803454	"CST3"	"1471"	1	"E.Br.8h.1"
2.11405326632199	"CSF1"	"1435"	1	"E.Br.8h.1"
2.50953527918065	"CPE"	"1363"	1	"E.Br.8h.1"
2.35886306949411	"CNR1"	"1268"	1	"E.Br.8h.1"
2.3868205076033	"CDKN1C"	"1028"	1	"E.Br.8h.1"
2.15299208532631	"CD86"	"942"	1	"E.Br.8h.1"
2.06171761975211	"CD40LG"	"959"	1	"E.Br.8h.1"
2.38994997052346	"CD40"	"958"	1	"E.Br.8h.1"
2.25244199386471	"CCL5"	"6352"	1	"E.Br.8h.1"
2.12348584338818	"CCL23"	"6368"	1	"E.Br.8h.1"
