"Cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"E.Br.20h.1"	"GO:0032103"	"positive regulation of response to external stimulus"	"99/4773"	"261/16992"	0.000331381523794249	0.0425845431441702	0.0380094570866971	"6868/185/199/26057/350/9048/566/695/57118/6363/6369/6351/6352/6354/1236/4064/940/923/1268/1435/6376/2919/10563/9547/2921/6374/3576/23604/55601/79132/1906/1908/1956/2152/2155/2205/2255/8823/115362/51738/2693/51704/63940/3273/3315/3329/3603/23765/84818/9173/51561/90865/3565/3569/3572/3673/3717/3735/3929/3965/1902/4023/5603/1432/1954/4282/4889/4908/4916/5225/5228/7941/5473/5578/25865/2185/6223/1901/8578/7857/9037/5054/4088/6777/6810/23075/7052/7056/7057/7060/81793/7098/7099/51284/7124/7132/8995/7391/7422"	99
"E.Corn.6h.1"	"GO:0032103"	"positive regulation of response to external stimulus"	"9/133"	"261/16992"	0.000215279571819795	0.0130458495596912	0.0103796617764856	"654/1435/3553/9173/5603/5138/7056/7057/7099"	9
"E.Pan.3d.1"	"GO:0032103"	"positive regulation of response to external stimulus"	"27/681"	"261/16992"	6.61858517661734e-06	0.000222127337042589	0.00016169296311827	"196527/2113/2247/2277/23604/2621/27250/3717/4023/4792/5054/5138/5159/5734/5743/6809/7052/7056/7057/708/718/7423/7474/80310/8829/9037/961"	27
"E.Pr.24h.1"	"GO:0032103"	"positive regulation of response to external stimulus"	"26/922"	"261/16992"	0.00209785618784242	0.0368885271631452	0.0304602232647712	"6347/7124/1906/51738/654/5225/5054/57118/1236/51704/6376/23075/4233/7292/5138/5578/7056/961/1907/1956/59067/3673/4852/7074/3576/5155"	26
"E.Pr.24h.2"	"GO:0032103"	"positive regulation of response to external stimulus"	"33/842"	"261/16992"	7.44082544024106e-07	0.000247085010118938	0.00020505348423738	"3569/6347/9698/7057/51561/1906/101/5054/654/5743/7052/4233/2920/6376/6374/5734/719/5138/2113/3949/7056/10318/9547/63940/1826/2152/5603/3965/9173/2150/3620/6372/136"	33
"E.Pr.24h.3"	"GO:0032103"	"positive regulation of response to external stimulus"	"14/302"	"261/16992"	0.000250683874535705	0.0317115101287667	0.0273396210536872	"102/6347/9547/55601/1906/1956/3146/3572/3673/5603/10133/23369/5054/7056"	14
"E.Pr.48h.1"	"GO:0032103"	"positive regulation of response to external stimulus"	"10/183"	"261/16992"	0.000543977992009448	0.024640503106803	0.0208465250227305	"57118/6347/9547/55601/1906/2152/3569/5603/7052/7056"	10
"E.Pr.6h.1"	"GO:0032103"	"positive regulation of response to external stimulus"	"11/198"	"261/16992"	0.000251483546808928	0.00522371688279039	0.00370117110800664	"1435/9547/1906/2152/3569/5603/5054/4088/7056/7057/7424"	11
"F.F.36h.1"	"GO:0032103"	"positive regulation of response to external stimulus"	"34/931"	"261/16992"	2.42414448002805e-06	0.000146346500090582	0.00011769465597641	"101/350/695/6363/6347/6348/6352/1236/2920/3576/1956/3315/3329/55540/90865/3569/3735/4049/9450/5603/11315/80310/5159/9647/5578/2185/4088/81793/7098/7099/51284/7124/8673/7422"	34
"F.F.8h.1"	"GO:0032103"	"positive regulation of response to external stimulus"	"15/423"	"261/16992"	0.00236261886769147	0.0206046080842208	0.0159650889472122	"695/6348/1235/1236/1956/55540/3735/4049/9450/5603/2185/81793/51284/7124/8673"	15
"L.Pbmc.24h.1"	"GO:0032103"	"positive regulation of response to external stimulus"	"21/264"	"261/16992"	8.17795579995464e-10	2.2376145215722e-07	1.74154038492961e-07	"6369/3620/3315/1906/7941/1902/199/136/23328/3965/23643/6279/654/6283/7056/972/64127/6363/5008/2621/5025"	21
"L.Pbmc.24h.2"	"GO:0032103"	"positive regulation of response to external stimulus"	"23/302"	"261/16992"	2.93618548901348e-10	7.5379979025838e-08	5.42168084982875e-08	"6369/3620/1240/3315/1906/3569/7941/1902/199/23328/4233/3965/23643/1594/4283/654/5603/7056/972/64127/6363/5008/3627"	23
"L.Pbmc.6h.1"	"GO:0032103"	"positive regulation of response to external stimulus"	"8/90"	"261/16992"	7.27730974883703e-05	0.00264639946580725	0.00187374007066965	"1906/3569/1902/23328/5603/7056/64127/5008"	8
"L.Pbmc.8h.1"	"GO:0032103"	"positive regulation of response to external stimulus"	"18/196"	"261/16992"	1.40051406101532e-09	1.03027315245131e-06	7.60813894779178e-07	"1906/7057/8829/3569/7941/1902/136/7052/101/23328/654/5603/7056/64127/5008/23075/3627/5025"	18
"L.Pbmc.8h.2"	"GO:0032103"	"positive regulation of response to external stimulus"	"21/220"	"261/16992"	2.73914088066378e-11	1.18125450478626e-08	8.57062765028747e-09	"2920/1906/7057/8829/3569/1902/136/7052/101/23328/6351/4283/654/6283/5603/7056/64127/5008/23075/3627/5025"	21
"L.T.10d.1"	"GO:0032103"	"positive regulation of response to external stimulus"	"13/295"	"261/16992"	0.000667949169463376	0.0121311356512834	0.00916448318680659	"57118/6351/6352/940/3576/2207/115362/3603/3565/3569/3717/4088/7057"	13
"M.APC.12h.1"	"GO:0032103"	"positive regulation of response to external stimulus"	"37/1114"	"261/16992"	7.5047437237602e-06	0.00108172542173866	0.000931509856940411	"708/719/728/57118/6347/6352/6354/1236/4064/1435/10563/3576/1906/2152/2205/115362/3146/3329/23765/3569/3717/3965/4023/5603/64127/7941/25865/23369/5054/4088/6777/23075/7052/7056/7098/7124/7422"	37
"M.APC.12h.2"	"GO:0032103"	"positive regulation of response to external stimulus"	"21/606"	"261/16992"	0.000456929389711366	0.0129918399038055	0.0103850254747622	"708/728/3576/1906/2205/2207/3329/23765/3569/3965/1902/5603/64127/7941/8578/23075/7052/7056/7099/7124/7422"	21
"M.APC.18h.1"	"GO:0032103"	"positive regulation of response to external stimulus"	"30/674"	"261/16992"	1.74907808496584e-07	2.08005747642861e-05	1.79770292781374e-05	"708/57118/6347/6369/6351/6354/4064/1435/2919/6374/6372/3576/1906/3315/3329/3717/3965/1902/4023/5603/64127/7941/5473/5054/23075/7052/7056/7057/7074/51284"	30
"M.APC.24h.1"	"GO:0032103"	"positive regulation of response to external stimulus"	"33/1115"	"261/16992"	0.000222922086378285	0.00656894668736011	0.00577611883733208	"6868/708/719/728/57118/1230/729230/4064/1435/2919/2920/3576/2152/2621/3553/90865/3735/3818/3965/5603/91662/10392/64127/5025/5138/7052/7056/7097/51284/8792/8995/7422/7784"	33
"M.APC.24h.2"	"GO:0032103"	"positive regulation of response to external stimulus"	"25/390"	"261/16992"	1.77429048820795e-09	1.1825646103906e-06	9.48778492641726e-07	"730249/654/728/6347/6351/4064/2919/10563/2920/6372/3576/4283/2621/3553/3673/3735/1902/5603/5743/4088/7056/7097/7099/51284/8995"	25
"M.APC.24h.3"	"GO:0032103"	"positive regulation of response to external stimulus"	"39/955"	"261/16992"	2.15209006488603e-08	3.17686471637147e-06	2.5951674311861e-06	"6868/654/708/719/728/6369/10344/6348/6351/6354/1236/4064/1435/1906/2205/2867/2621/3329/3569/3570/3965/5603/64127/5294/7941/5473/5734/6283/6279/6280/4088/7052/7056/7057/7099/51284/7124/8740/8995"	39
"M.APC.24h.4"	"GO:0032103"	"positive regulation of response to external stimulus"	"22/584"	"261/16992"	0.000103640671565797	0.00969490890755705	0.00893633982745819	"719/728/6346/6366/1230/4064/6372/3576/23604/2152/51738/4023/91662/7941/2185/6283/6279/6280/7056/7060/51284/8995"	22
"M.APC.24h.5"	"GO:0032103"	"positive regulation of response to external stimulus"	"37/833"	"261/16992"	5.7831453447222e-09	8.21041406226417e-07	6.44233694942888e-07	"654/728/6346/6363/6347/6366/6351/729230/1236/4064/1268/1435/10563/3576/4283/23604/1906/2621/51738/3315/51561/90865/3569/4023/23643/64127/5294/7941/5743/6279/6280/5054/7056/51284/7124/8995/7422"	37
"M.APC.24h.7"	"GO:0032103"	"positive regulation of response to external stimulus"	"11/187"	"261/16992"	0.000152850223199674	0.0108262694676062	0.00950850040597716	"6369/7941/1902/7052/23328/972/654/5603/7056/64127/5008"	11
"M.APC.24h.9"	"GO:0032103"	"positive regulation of response to external stimulus"	"10/152"	"261/16992"	0.000122080088003749	0.0129686616563982	0.011091000707709	"3315/51284/1902/7052/7423/972/5603/7056/64127/5008"	10
"M.APC.4h.1"	"GO:0032103"	"positive regulation of response to external stimulus"	"10/216"	"261/16992"	0.00191327428360936	0.04638552454279	0.0384268665284765	"708/729230/1906/2867/3965/5603/64127/7941/7056/7057"	10
"M.APC.5d.1"	"GO:0032103"	"positive regulation of response to external stimulus"	"22/625"	"261/16992"	0.00026998806692327	0.0107349101480945	0.00884171447234101	"708/728/6346/3576/1906/2205/2207/3329/23765/3569/3965/1902/5603/64127/7941/8578/23075/7052/7056/7099/7124/7422"	22
"M.APC.90min.1"	"GO:0032103"	"positive regulation of response to external stimulus"	"3/11"	"261/16992"	0.000539564464465524	0.0436281724068105	0.0258728969054473	"3576/1230/7056"	3
"M.Neutr.36h.1"	"GO:0032103"	"positive regulation of response to external stimulus"	"13/315"	"261/16992"	0.00121714051342688	0.0344352353284556	0.0292582100110882	"566/719/3576/2867/3735/1902/4282/64127/5025/6283/6279/7099/7124"	13
"M.Neutr.72h.1"	"GO:0032103"	"positive regulation of response to external stimulus"	"52/1988"	"261/16992"	7.83767898061994e-05	0.00200706454298193	0.0016043181751231	"102/6868/566/654/708/719/728/811/6347/6348/6351/6354/1230/23097/10488/1435/3576/23604/1906/2207/2867/51738/3329/23765/3553/51561/3572/3717/3735/3965/1902/4023/23643/4282/91662/64127/5025/5294/5734/5743/5879/6283/6279/6280/29110/7057/7097/7099/7114/7124/8673/7784"	52
