"FC"	"Gene.Name"	"Gene.ID"	"P.Value"	"dataset"
-1.5402837242642	"CXCR4"	"7852"	0.00698114889865975	"E.Br.24h.1"
-1.44260870395603	"BCL2L11"	"10018"	0.0977444219840382	"E.Br.24h.2"
-1.44260870395603	"BCL2L11"	"10018"	0.0977444219840382	"E.Br.24h.3"
-1.85872880375547	"THBS1"	"7057"	0.00013571588032683	"E.Corn.6h.1"
-1.30446644568963	"SERPINB2"	"5055"	0.00251137077743246	"E.Corn.6h.1"
-1.42963896702354	"PTEN"	"5728"	0.0650017020248878	"E.Liv.8h.1"
-1.53605564553527	"CXCL16"	"58191"	0.00904708864513734	"E.Liv.8h.1"
-1.5045782157771	"C1D"	"10438"	0.0507288939797818	"E.Liv.8h.1"
-1.82496970080946	"THBS1"	"7057"	0.00253246209397812	"E.Lu.24h.1"
-1.55961492766534	"SERPINB3"	"6317"	0.0679280595254389	"E.Lu.24h.1"
-1.44635815667988	"ITGAV"	"3685"	0.00223448194118501	"E.Lu.24h.1"
-1.55457386682872	"TNFSF12"	"8742"	0.0268602527311289	"E.Pan.3d.1"
-1.78720236159679	"THBS1"	"7057"	0.000880583080124029	"E.Pan.3d.1"
-1.70678475303695	"TGFBR1"	"7046"	0.000386497079709033	"E.Pan.3d.1"
-1.64502900584626	"PTX3"	"5806"	0.0254257641825156	"E.Pan.3d.1"
-2.27626567566652	"PLAU"	"5328"	0.00217871087640308	"E.Pan.3d.1"
-1.58468053151112	"PDGFRB"	"5159"	0.000891391995622531	"E.Pan.3d.1"
-2.15954493767109	"MMP2"	"4313"	2.53839276315118e-05	"E.Pan.3d.1"
-3.9368943293105	"IGFBP3"	"3486"	1.30936856656666e-05	"E.Pan.3d.1"
-2.28161153103402	"IGF1"	"3479"	0.000324122574826113	"E.Pan.3d.1"
-1.81318426118634	"FGF2"	"2247"	0.000398422925576899	"E.Pan.3d.1"
-1.7775761089322	"DPP4"	"1803"	0.000185184731012079	"E.Pan.3d.1"
-3.54054055795701	"CTGF"	"1490"	6.0709810964629e-07	"E.Pan.3d.1"
-1.93334475578673	"COL5A2"	"1290"	2.20144308765235e-05	"E.Pan.3d.1"
-2.3817723097438	"COL5A1"	"1289"	1.11482027863872e-05	"E.Pan.3d.1"
-2.46412291927046	"COL3A1"	"1281"	0.000731008914334891	"E.Pan.3d.1"
-2.21367283953549	"CAV1"	"857"	0.000107613079073499	"E.Pan.3d.1"
-2.44263810463629	"THBS1"	"7057"	7.89661813804223e-05	"E.Pan.7d.1"
-1.71221617974676	"TGFBR1"	"7046"	0.00175135176760173	"E.Pan.7d.1"
-1.73331810384061	"PTX3"	"5806"	0.0468170886857425	"E.Pan.7d.1"
-2.98843443403476	"PLAU"	"5328"	0.000622435507472969	"E.Pan.7d.1"
-1.53426033342674	"PDGFRA"	"5156"	0.0152127749046905	"E.Pan.7d.1"
-4.18796792635782	"MMP2"	"4313"	1.02986140514117e-06	"E.Pan.7d.1"
-1.52668480694054	"MIF"	"4282"	0.00915523262972795	"E.Pan.7d.1"
-2.36403617324709	"LMNA"	"4000"	0.000250526830913412	"E.Pan.7d.1"
-1.79858388247341	"ITGAV"	"3685"	0.000467656490032877	"E.Pan.7d.1"
