"Cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"E.Pan.3d.1"	"DOID:850"	"lung disease"	"48/441"	"499/8007"	9.0313190002956e-05	0.00141163442635055	0.000967198465020215	"10630/1281/133/142/1490/2054/21/2149/2247/2252/2277/22926/2294/2353/2355/23645/301/3371/3479/348/3486/3488/3566/4313/4314/4322/4792/4803/5054/51393/5270/5328/5468/5743/5806/595/627/6648/6696/6722/7056/7078/7412/7498/780/839/857/8742"	48
"E.Pr.24h.1"	"DOID:850"	"lung disease"	"62/545"	"499/8007"	1.84004341156252e-06	9.3382203136798e-05	5.36275810080393e-05	"6347/3123/7015/1080/7450/6382/7124/1234/4982/23645/841/1364/1571/1906/6446/133/596/9619/6648/624/348/4638/4312/5054/3162/942/4846/3479/1277/3291/201163/30061/4313/3488/22861/3577/6376/5742/4322/2353/23462/2212/820/4233/3557/57016/59272/7056/196/374/623/1950/4094/9476/1672/3952/50943/2729/4855/3576/947/358"	62
"E.Pr.24h.2"	"DOID:850"	"lung disease"	"58/504"	"499/8007"	2.83729026183e-06	0.000147917398983404	0.000102938881780078	"3320/3569/6347/6696/4982/1571/1906/3303/6446/6318/101/5054/4316/5743/4318/9122/3589/4233/3371/1277/3918/29126/3488/1490/4837/10630/6376/4322/2353/6374/4482/820/3552/1673/719/595/133/6317/929/2149/7056/1950/1471/2152/3486/7035/3965/25805/857/1672/9173/1545/2150/3620/780/54210/1281/136"	58
"E.Pr.24h.3"	"DOID:850"	"lung disease"	"23/180"	"499/8007"	0.000764342925187613	0.0161039147341252	0.0121795478822999	"9619/6347/1545/22943/1906/5610/2149/2353/2730/3146/3486/3572/81930/4313/5048/10630/5266/5329/5054/6590/6772/7056/3371"	23
"E.Pr.48h.1"	"DOID:850"	"lung disease"	"17/120"	"499/8007"	0.00116713763136924	0.0134004691009061	0.00932800056260017	"9619/6347/1543/22943/1906/2149/2152/2353/3291/3429/3486/3569/3918/4313/6441/6772/7056"	17
"E.Pr.48h.2"	"DOID:850"	"lung disease"	"24/173"	"499/8007"	0.000170473965119423	0.00982549944415583	0.00717785116292307	"59272/154/196/374/596/6347/3576/4283/1543/2534/23462/3082/3383/3479/3557/3694/3953/4094/4321/4316/10/30061/91937/7276"	24
"E.Pr.6h.1"	"DOID:850"	"lung disease"	"27/132"	"499/8007"	2.87278437279164e-08	7.17019106816253e-06	4.98333117422902e-06	"9619/133/595/29126/1364/1435/1543/1545/1906/2149/2152/2353/2308/2627/2729/26585/3091/3486/3569/3694/4780/4803/10630/5054/4088/7056/7424"	27
"L.Pbmc.24h.1"	"DOID:850"	"lung disease"	"25/194"	"499/8007"	0.000401770758097403	0.011377417377031	0.00916960055562016	"6369/3620/1438/2212/3315/1906/8742/3684/54210/820/6772/4000/136/133/3965/2355/57817/929/1512/7056/64127/3597/948/9619/4318"	25
"L.Pbmc.24h.2"	"DOID:850"	"lung disease"	"37/225"	"499/8007"	3.96456746717152e-08	3.12760322410198e-06	2.08661445640606e-06	"3779/6369/10333/3620/1438/3119/2212/3315/7295/1906/8742/3684/2534/54210/820/4000/3569/133/4233/3965/2355/57817/929/348/4283/1512/7056/64127/3597/8651/958/948/3627/9619/4318/4688/5468"	37
"L.Pbmc.2M.1"	"DOID:850"	"lung disease"	"8/38"	"499/8007"	0.00199437974161989	0.038176384267088	0.0234220558035484	"3569/3606/960/196/3586/301/9446/1438"	8
"L.Pbmc.6h.1"	"DOID:850"	"lung disease"	"19/65"	"499/8007"	7.48559749440737e-09	1.29256662043026e-06	7.1550564174595e-07	"10630/1906/3684/54210/820/4000/653361/3569/6446/27299/57817/929/5027/7056/64127/3557/948/4318/100"	19
"L.Pbmc.8h.1"	"DOID:850"	"lung disease"	"32/140"	"499/8007"	7.08202570089426e-11	4.38377390885354e-08	2.49734590505218e-08	"5328/3552/23645/1438/11213/10630/3091/1906/3684/54210/820/4000/653361/3569/6446/136/101/133/942/27299/57817/2729/929/6556/5027/7056/64127/3557/948/3627/1471/100"	32
"L.Pbmc.8h.2"	"DOID:850"	"lung disease"	"34/158"	"499/8007"	1.03392899023104e-10	3.3344209934951e-08	1.75223755186523e-08	"5328/3552/23645/1438/3119/11213/10630/3091/1906/3684/54210/820/4000/653361/3569/6446/136/7035/101/133/27299/57817/929/6556/4283/26585/5027/7056/64127/1493/948/3627/5580/100"	34
"L.T.10d.1"	"DOID:850"	"lung disease"	"27/186"	"499/8007"	3.01459285087404e-05	0.000829484290133719	0.000540389316101235	"133/301/6352/29126/942/8837/1471/1493/1513/3576/2833/1545/2065/2355/3001/3458/3603/3565/3569/3684/9476/5329/5468/4088/6772/3371/54210"	27
