"FC"	"Gene.Name"	"Gene.ID"	"P.Value"	"dataset"
-1.70865815598681	"MKI67"	"4288"	0.000401899825672083	"E.Br.24h.1"
-1.76078895659175	"KITLG"	"4254"	0.00118122309153072	"E.Br.24h.1"
-1.76904698545289	"F3"	"2152"	7.47049450651901e-05	"E.Br.24h.1"
-2.23882997562575	"PPBP"	"5473"	0.0939947944487875	"E.Br.24h.2"
-2.23882997562575	"PPBP"	"5473"	0.0939947944487875	"E.Br.24h.3"
-1.32683047168841	"REL"	"5966"	0.00207878329319624	"E.Corn.6h.1"
-1.30053477450252	"KRT6A"	"3853"	0.00223116188474881	"E.Corn.6h.1"
-1.61397127047027	"KITLG"	"4254"	0.000268544679809191	"E.Corn.6h.1"
-1.41472732640326	"F3"	"2152"	0.000774935387254751	"E.Corn.6h.1"
-1.33481735796876	"DST"	"667"	0.00339168684854775	"E.Corn.6h.1"
-1.40755477115172	"CCND1"	"595"	0.000924415820495904	"E.Corn.6h.1"
-1.53420477226716	"SLC29A1"	"2030"	0.0316514322878779	"E.Liv.36h.1"
-1.52317799363358	"PCNA"	"5111"	0.0171799114193946	"E.Liv.36h.1"
-2.25768332033899	"MKI67"	"4288"	0.00208559345543809	"E.Liv.36h.1"
-1.62943788217236	"MCM5"	"4174"	0.00411143974557964	"E.Liv.36h.1"
-1.83843851014186	"MCM2"	"4171"	0.00438517381041228	"E.Liv.36h.1"
-1.59699975658574	"DNMT1"	"1786"	0.0388174695079199	"E.Liv.36h.1"
-2.08081293521502	"TNFRSF1B"	"7133"	0.0210410037564844	"E.Liv.8h.1"
-1.32911163493692	"IL32"	"9235"	0.0479186652444277	"E.Lu.24h.1"
-1.48080102417212	"GJA1"	"2697"	0.00393516659393784	"E.Lu.24h.1"
-1.52105913126375	"AQP3"	"360"	0.0275680856736168	"E.Lu.24h.1"
-1.41914733778709	"ANOS1"	"3730"	0.0852609486143994	"E.Lu.24h.1"
-1.55457386682872	"TNFSF12"	"8742"	0.0268602527311289	"E.Pan.3d.1"
-1.53431415007787	"RXRA"	"6256"	0.0038338750336252	"E.Pan.3d.1"
-1.87252609424413	"RARB"	"5915"	0.000202437853451948	"E.Pan.3d.1"
-2.29205779803459	"PPARG"	"5468"	1.2582340672455e-05	"E.Pan.3d.1"
-2.27626567566652	"PLAU"	"5328"	0.00217871087640308	"E.Pan.3d.1"
-2.15954493767109	"MMP2"	"4313"	2.53839276315118e-05	"E.Pan.3d.1"
-2.08075831804927	"MME"	"4311"	0.0040667411131427	"E.Pan.3d.1"
-1.62848922736924	"LPIN1"	"23175"	0.0104665648746078	"E.Pan.3d.1"
-3.9368943293105	"IGFBP3"	"3486"	1.30936856656666e-05	"E.Pan.3d.1"
-2.28161153103402	"IGF1"	"3479"	0.000324122574826113	"E.Pan.3d.1"
-1.60585394277694	"GPX1"	"2876"	0.0209995752722122	"E.Pan.3d.1"
-1.76050104162816	"F2R"	"2149"	0.00300448551132808	"E.Pan.3d.1"
-1.7775761089322	"DPP4"	"1803"	0.000185184731012079	"E.Pan.3d.1"
-1.51406081210132	"COL7A1"	"1294"	0.00545290668011427	"E.Pan.3d.1"
-1.50050738779705	"CDKN1A"	"1026"	0.0499083594302739	"E.Pan.3d.1"
-1.6997532209197	"CCND1"	"595"	0.00842980149471779	"E.Pan.3d.1"
-2.21367283953549	"CAV1"	"857"	0.000107613079073499	"E.Pan.3d.1"
-2.04528538050818	"BDNF"	"627"	0.00106010903502066	"E.Pan.3d.1"
-1.85864647810561	"ANXA2"	"302"	9.28136253560435e-05	"E.Pan.3d.1"
-2.18901836455477	"ALDH1A1"	"216"	0.00026071354037461	"E.Pan.3d.1"
-1.85982776105473	"SLC29A1"	"2030"	0.0189415164270559	"E.Pan.7d.1"
-1.74028751876869	"RARB"	"5915"	0.00361482349581206	"E.Pan.7d.1"
-3.34493966104252	"PPARG"	"5468"	5.91414042985561e-05	"E.Pan.7d.1"
-2.98843443403476	"PLAU"	"5328"	0.000622435507472969	"E.Pan.7d.1"
-4.18796792635782	"MMP2"	"4313"	1.02986140514117e-06	"E.Pan.7d.1"
-1.52668480694054	"MIF"	"4282"	0.00915523262972795	"E.Pan.7d.1"
-2.36403617324709	"LMNA"	"4000"	0.000250526830913412	"E.Pan.7d.1"
-22.7535957821186	"IGFBP3"	"3486"	1.6603231593064e-08	"E.Pan.7d.1"
-1.83989904009058	"IGF1"	"3479"	0.00959247128360426	"E.Pan.7d.1"
-3.19563561620968	"F2R"	"2149"	2.68882354131012e-05	"E.Pan.7d.1"
-1.769796592747	"DST"	"667"	0.00135292096582457	"E.Pan.7d.1"
-1.71426385193903	"DPP4"	"1803"	0.00173745737431692	"E.Pan.7d.1"
-1.66170188484056	"DNMT1"	"1786"	0.0228711648471816	"E.Pan.7d.1"
-2.02978819529178	"COL7A1"	"1294"	0.000328292167295286	"E.Pan.7d.1"
-1.66796404221212	"COL1A1"	"1277"	0.0103124308031112	"E.Pan.7d.1"
-3.2028213713208	"CCND1"	"595"	1.16450329935291e-05	"E.Pan.7d.1"
-1.64303832495982	"CAVIN1"	"284119"	0.00729017492546011	"E.Pan.7d.1"
-2.20932634739281	"CAV1"	"857"	0.000937568792398872	"E.Pan.7d.1"
-2.24357886573382	"BDNF"	"627"	0.00014406783864297	"E.Pan.7d.1"
-1.91601944431394	"BCL2"	"596"	0.0123273869305794	"E.Pan.7d.1"
-2.32819735385764	"ANXA2"	"302"	8.14549084840919e-05	"E.Pan.7d.1"
-2.71243536124934	"ALDH1A1"	"216"	0.000310796571694009	"E.Pan.7d.1"
-1.85057865400586	"TRAF1"	"7185"	0.00399722764383019	"E.Pr.24h.1"
-1.97873921943995	"TBC1D4"	"9882"	0.00804971949768948	"E.Pr.24h.1"
-1.64588656749721	"RXRA"	"6256"	0.00918625640253735	"E.Pr.24h.1"
-1.5040001000129	"NPY"	"4852"	0.0180268209446215	"E.Pr.24h.1"
-1.61121031434679	"NOTCH4"	"4855"	0.0111413147602762	"E.Pr.24h.1"
-2.03003611547946	"NOS3"	"4846"	0.000904798207897811	"E.Pr.24h.1"
-1.58931119826096	"MMP2"	"4313"	0.0109434385629098	"E.Pr.24h.1"
-1.51631365070586	"LEP"	"3952"	0.0402329892991143	"E.Pr.24h.1"
-1.50213597105441	"KITLG"	"4254"	0.0107428766483143	"E.Pr.24h.1"
-2.25796872546697	"IL2RA"	"3559"	0.0130498486452245	"E.Pr.24h.1"
-2.36833475051173	"IL1RN"	"3557"	0.000449192360007968	"E.Pr.24h.1"
-2.38804293174751	"IL1F5"	"26525"	0.000844014537464777	"E.Pr.24h.1"
