"FC"	"Gene.Name"	"Gene.ID"	"P.Value"	"dataset"
2.02590978962789	"WNT10A"	"80326"	1	"E.Br.20h.1"
2.07885184757703	"VEGFA"	"7422"	1	"E.Br.20h.1"
2.27507591298704	"TNFSF8"	"944"	1	"E.Br.20h.1"
2.14471284696995	"TNFSF18"	"8995"	1	"E.Br.20h.1"
2.69252001752779	"TNFSF13B"	"10673"	1	"E.Br.20h.1"
2.20291531620069	"TNF"	"7124"	1	"E.Br.20h.1"
2.05584532012527	"TLR4"	"7099"	1	"E.Br.20h.1"
2.03202380897677	"TLR3"	"7098"	1	"E.Br.20h.1"
2.11238893155083	"TFRC"	"7037"	1	"E.Br.20h.1"
2.18910083632911	"SYK"	"6850"	1	"E.Br.20h.1"
2.0344232729605	"SMPD1"	"6609"	1	"E.Br.20h.1"
2.11978227610515	"SMAD3"	"4088"	1	"E.Br.20h.1"
2.250428009939	"SMAD2"	"4087"	1	"E.Br.20h.1"
2.29152342556306	"RXRA"	"6256"	1	"E.Br.20h.1"
2.06548814828285	"RNASE3"	"6037"	1	"E.Br.20h.1"
2.22124919594449	"PTPN22"	"26191"	1	"E.Br.20h.1"
2.47281661268329	"PSEN1"	"5663"	1	"E.Br.20h.1"
2.08445817359138	"PPBP"	"5473"	1	"E.Br.20h.1"
2.01498183789285	"PPARG"	"5468"	1	"E.Br.20h.1"
2.79288687018	"PLAUR"	"5329"	1	"E.Br.20h.1"
2.18696998860623	"PDPN"	"10630"	1	"E.Br.20h.1"
2.23101275699723	"NOTCH4"	"4855"	1	"E.Br.20h.1"
2.09980705314388	"NGF"	"4803"	1	"E.Br.20h.1"
2.34930467650092	"MMP2"	"4313"	1	"E.Br.20h.1"
2.16930505324886	"MME"	"4311"	1	"E.Br.20h.1"
2.03210415464195	"MIF"	"4282"	1	"E.Br.20h.1"
2.15343431207598	"LPIN1"	"23175"	1	"E.Br.20h.1"
2.24927462018713	"LAMC2"	"3918"	1	"E.Br.20h.1"
2.38725700394685	"IRAK3"	"11213"	1	"E.Br.20h.1"
