"FC"	"Gene.Name"	"Gene.ID"	"P.Value"	"dataset"
-1.76904698545289	"F3"	"2152"	7.47049450651901e-05	"E.Br.24h.1"
-1.45769684587537	"NNMT"	"4837"	0.00062576675995465	"E.Corn.6h.1"
-1.41472732640326	"F3"	"2152"	0.000774935387254751	"E.Corn.6h.1"
-1.34059770807838	"CYP1B1"	"1545"	0.00129154840256744	"E.Corn.6h.1"
-1.52317799363358	"PCNA"	"5111"	0.0171799114193946	"E.Liv.36h.1"
-1.66571298618183	"CDC6"	"990"	0.0359595553686959	"E.Liv.36h.1"
-1.42963896702354	"PTEN"	"5728"	0.0650017020248878	"E.Liv.8h.1"
-1.55961492766534	"SERPINB3"	"6317"	0.0679280595254389	"E.Lu.24h.1"
-1.35030757440191	"BAMBI"	"25805"	0.0533860556200422	"E.Lu.24h.1"
-2.88639301060017	"VCAM1"	"7412"	3.44013695831134e-05	"E.Pan.3d.1"
-2.84970224902813	"SERPINE2"	"5270"	1.77049519559438e-05	"E.Pan.3d.1"
-1.65926921683432	"SERPINE1"	"5054"	0.00035797478922366	"E.Pan.3d.1"
-2.29205779803459	"PPARG"	"5468"	1.2582340672455e-05	"E.Pan.3d.1"
-2.27626567566652	"PLAU"	"5328"	0.00217871087640308	"E.Pan.3d.1"
-2.15954493767109	"MMP2"	"4313"	2.53839276315118e-05	"E.Pan.3d.1"
-4.13190981105797	"ADM"	"133"	1.70042419860334e-06	"E.Pan.3d.1"
-4.83527302513769	"VCAM1"	"7412"	6.77918658103788e-06	"E.Pan.7d.1"
-3.36727487640385	"SERPINE2"	"5270"	2.43688340760115e-05	"E.Pan.7d.1"
-2.6036692315068	"SERPINE1"	"5054"	8.17577064946217e-06	"E.Pan.7d.1"
-3.34493966104252	"PPARG"	"5468"	5.91414042985561e-05	"E.Pan.7d.1"
-2.98843443403476	"PLAU"	"5328"	0.000622435507472969	"E.Pan.7d.1"
-4.09648604529984	"MYLK"	"4638"	3.3229766582142e-05	"E.Pan.7d.1"
-2.46017180939744	"MTHFR"	"4524"	0.00102433827008898	"E.Pan.7d.1"
