"FC"	"Gene.Name"	"Gene.ID"	"P.Value"	"dataset"
2.33271716066007	"VWF"	"7450"	1	"E.Br.20h.1"
2.07885184757703	"VEGFA"	"7422"	1	"E.Br.20h.1"
2.30392357136428	"VCAM1"	"7412"	1	"E.Br.20h.1"
2.27148414601093	"TREM1"	"54210"	1	"E.Br.20h.1"
2.20291531620069	"TNF"	"7124"	1	"E.Br.20h.1"
2.23880225257317	"TLR6"	"10333"	1	"E.Br.20h.1"
2.05584532012527	"TLR4"	"7099"	1	"E.Br.20h.1"
3.95095427168241	"THBD"	"7056"	1	"E.Br.20h.1"
2.22943768871055	"STAT1"	"6772"	1	"E.Br.20h.1"
2.11978227610515	"SMAD3"	"4088"	1	"E.Br.20h.1"
2.250428009939	"SMAD2"	"4087"	1	"E.Br.20h.1"
2.06778115536773	"SLPI"	"6590"	1	"E.Br.20h.1"
3.32901708082126	"SLC16A4"	"9122"	1	"E.Br.20h.1"
2.06541176121205	"SIRT1"	"23411"	1	"E.Br.20h.1"
2.20066729978225	"SERPINE2"	"5270"	1	"E.Br.20h.1"
2.25418030816794	"SERPINE1"	"5054"	1	"E.Br.20h.1"
2.10365156989166	"SERPINA1"	"5265"	1	"E.Br.20h.1"
2.06548814828285	"RNASE3"	"6037"	1	"E.Br.20h.1"
2.17799118480884	"RAP1A"	"5906"	1	"E.Br.20h.1"
2.05181645721513	"PPP1R15A"	"23645"	1	"E.Br.20h.1"
2.01498183789285	"PPARG"	"5468"	1	"E.Br.20h.1"
2.79288687018	"PLAUR"	"5329"	1	"E.Br.20h.1"
2.05862285085321	"PIK3CD"	"5293"	1	"E.Br.20h.1"
2.20855723556551	"P2RX7"	"5027"	1	"E.Br.20h.1"
2.09980705314388	"NGF"	"4803"	1	"E.Br.20h.1"
2.27649709381764	"MTHFR"	"4524"	1	"E.Br.20h.1"
2.34930467650092	"MMP2"	"4313"	1	"E.Br.20h.1"
2.28665451323914	"LGALS3"	"3958"	1	"E.Br.20h.1"
2.48589924192471	"ITGB6"	"3694"	1	"E.Br.20h.1"
2.35861433192338	"ITGAM"	"3684"	1	"E.Br.20h.1"
2.35119001262788	"ITGAL"	"3683"	1	"E.Br.20h.1"
2.5308063288637	"IL6"	"3569"	1	"E.Br.20h.1"
2.43888038753325	"IL5RA"	"3568"	1	"E.Br.20h.1"
2.53712432008915	"IL4"	"3565"	1	"E.Br.20h.1"
2.23927283358696	"IL1RL1"	"9173"	1	"E.Br.20h.1"
2.2782423424739	"IL18R1"	"8809"	1	"E.Br.20h.1"
2.15060579764719	"IL16"	"3603"	1	"E.Br.20h.1"
2.02042481919136	"IL13RA1"	"3597"	1	"E.Br.20h.1"
2.01415312400839	"HSPD1"	"3329"	1	"E.Br.20h.1"
2.06072947022768	"HSPB1"	"3315"	1	"E.Br.20h.1"
2.21134020896284	"HIF1A"	"3091"	1	"E.Br.20h.1"
2.39151267533717	"GCLM"	"2730"	1	"E.Br.20h.1"
2.10402124257144	"GCLC"	"2729"	1	"E.Br.20h.1"
2.25801688212658	"FOXO1"	"2308"	1	"E.Br.20h.1"
2.02028415045277	"FCER1A"	"2205"	1	"E.Br.20h.1"
2.69145076769933	"F3"	"2152"	1	"E.Br.20h.1"
2.08221837930272	"EDN1"	"1906"	1	"E.Br.20h.1"
2.37216244320373	"CYP1B1"	"1545"	1	"E.Br.20h.1"
2.62331348678397	"CYP1A1"	"1543"	1	"E.Br.20h.1"
2.33893792257069	"CXCR3"	"2833"	1	"E.Br.20h.1"
2.06812936050117	"CXCL8"	"3576"	1	"E.Br.20h.1"
2.89329232180125	"CX3CL1"	"6376"	1	"E.Br.20h.1"
2.19303574730255	"CTSS"	"1520"	1	"E.Br.20h.1"
2.0597225267903	"CTLA4"	"1493"	1	"E.Br.20h.1"
2.01782679213577	"CSTA"	"1475"	1	"E.Br.20h.1"
2.20762696101041	"CRLF2"	"64109"	1	"E.Br.20h.1"
2.41461577404291	"CD86"	"942"	1	"E.Br.20h.1"
2.13208311605819	"CD63"	"967"	1	"E.Br.20h.1"
2.14420477763456	"CD40"	"958"	1	"E.Br.20h.1"
2.09064892308581	"CCL5"	"6352"	1	"E.Br.20h.1"
2.13202641297339	"CCL24"	"6369"	1	"E.Br.20h.1"
2.16632637617428	"CCL22"	"6367"	1	"E.Br.20h.1"
2.08384234587108	"CCL18"	"6362"	1	"E.Br.20h.1"
2.09731189902885	"CCL17"	"6361"	1	"E.Br.20h.1"
2.40721978878892	"BDKRB1"	"623"	1	"E.Br.20h.1"
3.43617471779189	"AREG"	"374"	1	"E.Br.20h.1"
2.04032976319629	"ADM"	"133"	1	"E.Br.20h.1"
1.54140947183686	"XBP1"	"7494"	0.00138101566875475	"E.Br.24h.1"
3.9353941778773	"HMOX1"	"3162"	5.3526417306964e-07	"E.Br.24h.1"
1.66510734658337	"FYN"	"2534"	0.00114457672553761	"E.Br.24h.1"
2.63589608793039	"CYP1A1"	"1543"	9.39476812289461e-06	"E.Br.24h.1"
1.48135267843979	"TREM1"	"54210"	0.0758991114825193	"E.Br.24h.2"
2.25260964055863	"THBD"	"7056"	0.0779860688087309	"E.Br.24h.2"
1.64012758642522	"ITGAM"	"3684"	0.00838241433620961	"E.Br.24h.2"
3.94695977761711	"IL1RL1"	"9173"	0.000260036377551135	"E.Br.24h.2"
1.48135267843979	"TREM1"	"54210"	0.0758991114825193	"E.Br.24h.3"
2.25260964055863	"THBD"	"7056"	0.0779860688087309	"E.Br.24h.3"
1.64012758642522	"ITGAM"	"3684"	0.00838241433620961	"E.Br.24h.3"
3.94695977761711	"IL1RL1"	"9173"	0.000260036377551135	"E.Br.24h.3"
1.3007414886044	"IL6"	"3569"	0.0591816235848864	"E.Br.30d.1"
1.81117254474593	"ADM"	"133"	0.0721111233118682	"E.Br.30d.1"
2.06270098597085	"VCAM1"	"7412"	1	"E.Br.50h.1"
4.71606687034195	"TREM1"	"54210"	1	"E.Br.50h.1"
2.51590884680921	"TNF"	"7124"	1	"E.Br.50h.1"
2.27892720365249	"TNC"	"3371"	1	"E.Br.50h.1"
2.28941301428436	"TLR6"	"10333"	1	"E.Br.50h.1"
2.13831242497236	"TLR4"	"7099"	1	"E.Br.50h.1"
11.0159554117456	"THBD"	"7056"	1	"E.Br.50h.1"
3.02717299690719	"STAT1"	"6772"	1	"E.Br.50h.1"
2.20109844025872	"SMAD3"	"4088"	1	"E.Br.50h.1"
2.42089961478929	"SMAD2"	"4087"	1	"E.Br.50h.1"
2.00112665200844	"SLPI"	"6590"	1	"E.Br.50h.1"
6.64374419882664	"SLC16A4"	"9122"	1	"E.Br.50h.1"
2.25155068593469	"SIRT1"	"23411"	1	"E.Br.50h.1"
2.63263773011711	"SERPINE2"	"5270"	1	"E.Br.50h.1"
2.47164205914264	"SERPINE1"	"5054"	1	"E.Br.50h.1"
2.07436696098825	"SERPINA1"	"5265"	1	"E.Br.50h.1"
2.04671979462764	"RAP1A"	"5906"	1	"E.Br.50h.1"
2.06816690494243	"PTGS2"	"5743"	1	"E.Br.50h.1"
2.81530609248155	"PPP1R15A"	"23645"	1	"E.Br.50h.1"
3.36483639655326	"PLAUR"	"5329"	1	"E.Br.50h.1"
2.48760437486728	"PIK3CD"	"5293"	1	"E.Br.50h.1"
2.06203728896591	"P2RX7"	"5027"	1	"E.Br.50h.1"
2.13000999205322	"NFE2L2"	"4780"	1	"E.Br.50h.1"
2.16421574093481	"MTHFR"	"4524"	1	"E.Br.50h.1"
4.1360692341618	"MMP2"	"4313"	1	"E.Br.50h.1"
2.08341965437914	"MAEA"	"10296"	1	"E.Br.50h.1"
2.41003896559333	"LGALS3"	"3958"	1	"E.Br.50h.1"
3.99122134841079	"ITGB6"	"3694"	1	"E.Br.50h.1"
2.07291729024939	"ITGAL"	"3683"	1	"E.Br.50h.1"
2.44058314550399	"IL6"	"3569"	1	"E.Br.50h.1"
2.03551858109862	"IL5RA"	"3568"	1	"E.Br.50h.1"
2.15736209957848	"IL4"	"3565"	1	"E.Br.50h.1"
2.4349416962649	"IL1RL1"	"9173"	1	"E.Br.50h.1"
2.50457321613255	"IL18R1"	"8809"	1	"E.Br.50h.1"
2.21999084015603	"IL16"	"3603"	1	"E.Br.50h.1"
2.43461295347731	"IL13RA1"	"3597"	1	"E.Br.50h.1"
2.17484283567202	"HSPD1"	"3329"	1	"E.Br.50h.1"
2.17466794620069	"HSPB1"	"3315"	1	"E.Br.50h.1"
2.27417923860512	"HIF1A"	"3091"	1	"E.Br.50h.1"
2.50416043603689	"GCLM"	"2730"	1	"E.Br.50h.1"
2.34565994923292	"GCLC"	"2729"	1	"E.Br.50h.1"
2.39083935956046	"FOXO1"	"2308"	1	"E.Br.50h.1"
2.01393242085315	"FCER1A"	"2205"	1	"E.Br.50h.1"
2.59209280838957	"F3"	"2152"	1	"E.Br.50h.1"
2.13150181858557	"EDN1"	"1906"	1	"E.Br.50h.1"
4.59308540721105	"CYP1A1"	"1543"	1	"E.Br.50h.1"
2.35980151112463	"CXCR3"	"2833"	1	"E.Br.50h.1"
2.47177286587295	"CXCL8"	"3576"	1	"E.Br.50h.1"
2.96373280118412	"CX3CR1"	"1524"	1	"E.Br.50h.1"
3.5632034140827	"CX3CL1"	"6376"	1	"E.Br.50h.1"
2.39956373936236	"CTSS"	"1520"	1	"E.Br.50h.1"
2.0264350720793	"CTLA4"	"1493"	1	"E.Br.50h.1"
2.20007954604313	"CSTA"	"1475"	1	"E.Br.50h.1"
2.18141034511414	"CD86"	"942"	1	"E.Br.50h.1"
2.42808714482764	"CD63"	"967"	1	"E.Br.50h.1"
2.2041595238997	"CD40"	"958"	1	"E.Br.50h.1"
2.2376696054736	"CCL5"	"6352"	1	"E.Br.50h.1"
2.06908738803395	"CCL24"	"6369"	1	"E.Br.50h.1"
2.57624910467801	"CCL22"	"6367"	1	"E.Br.50h.1"
2.07266574358796	"CCL17"	"6361"	1	"E.Br.50h.1"
2.4866158185592	"BDKRB1"	"623"	1	"E.Br.50h.1"
4.57481500887589	"AREG"	"374"	1	"E.Br.50h.1"
2.65853927079006	"ADM"	"133"	1	"E.Br.50h.1"
2.20970392487577	"VWF"	"7450"	1	"E.Br.8h.1"
2.08740383328814	"VEGFA"	"7422"	1	"E.Br.8h.1"
2.46820118617169	"VCAM1"	"7412"	1	"E.Br.8h.1"
2.08289698638168	"TREM1"	"54210"	1	"E.Br.8h.1"
2.06114851649028	"TNF"	"7124"	1	"E.Br.8h.1"
2.12314272660041	"TNC"	"3371"	1	"E.Br.8h.1"
2.18721347119384	"TLR6"	"10333"	1	"E.Br.8h.1"
2.09289572829319	"TLR4"	"7099"	1	"E.Br.8h.1"
4.38316483024387	"THBD"	"7056"	1	"E.Br.8h.1"
2.0559612941928	"SMAD3"	"4088"	1	"E.Br.8h.1"
2.33519555018542	"SMAD2"	"4087"	1	"E.Br.8h.1"
2.0440058061665	"SLPI"	"6590"	1	"E.Br.8h.1"
2.40120007597992	"SLC16A4"	"9122"	1	"E.Br.8h.1"
2.23212375849826	"SIRT1"	"23411"	1	"E.Br.8h.1"
2.40690132300997	"SERPINE2"	"5270"	1	"E.Br.8h.1"
2.36926930158192	"SERPINE1"	"5054"	1	"E.Br.8h.1"
2.08563805471758	"SERPINA1"	"5265"	1	"E.Br.8h.1"
2.11133551821418	"RAP1A"	"5906"	1	"E.Br.8h.1"
2.05289887067333	"PTGS2"	"5743"	1	"E.Br.8h.1"
2.98222253310155	"PLAUR"	"5329"	1	"E.Br.8h.1"
2.05226220219861	"PIK3CD"	"5293"	1	"E.Br.8h.1"
2.04932657828098	"NFE2L2"	"4780"	1	"E.Br.8h.1"
2.12477625872094	"MTHFR"	"4524"	1	"E.Br.8h.1"
2.07905905560303	"MMP2"	"4313"	1	"E.Br.8h.1"
2.10339390412124	"MAEA"	"10296"	1	"E.Br.8h.1"
2.3958988258639	"LGALS3"	"3958"	1	"E.Br.8h.1"
2.45948167261342	"ITGB6"	"3694"	1	"E.Br.8h.1"
2.099792801881	"ITGAM"	"3684"	1	"E.Br.8h.1"
2.19422265570844	"ITGAL"	"3683"	1	"E.Br.8h.1"
2.11596049693298	"IL6"	"3569"	1	"E.Br.8h.1"
2.11791703327121	"IL4"	"3565"	1	"E.Br.8h.1"
2.27904301116079	"IL1RL1"	"9173"	1	"E.Br.8h.1"
2.46146227384244	"IL18R1"	"8809"	1	"E.Br.8h.1"
2.01604718768447	"IL13RA1"	"3597"	1	"E.Br.8h.1"
2.39536654652902	"HSPD1"	"3329"	1	"E.Br.8h.1"
2.01129303473371	"HSP90AA1"	"3320"	1	"E.Br.8h.1"
2.17217275286453	"HIF1A"	"3091"	1	"E.Br.8h.1"
2.09005089291049	"GZMA"	"3001"	1	"E.Br.8h.1"
2.25815742120555	"GCLM"	"2730"	1	"E.Br.8h.1"
2.30887353644638	"FOXO1"	"2308"	1	"E.Br.8h.1"
2.05153494004775	"FCER1A"	"2205"	1	"E.Br.8h.1"
2.16506174479452	"F3"	"2152"	1	"E.Br.8h.1"
2.1419369338253	"CYP1A1"	"1543"	1	"E.Br.8h.1"
2.31608882212978	"CXCR3"	"2833"	1	"E.Br.8h.1"
2.22555629956146	"CXCL8"	"3576"	1	"E.Br.8h.1"
2.55542153427227	"CX3CR1"	"1524"	1	"E.Br.8h.1"
3.61227977124184	"CX3CL1"	"6376"	1	"E.Br.8h.1"
2.35631029851538	"CTSS"	"1520"	1	"E.Br.8h.1"
2.10486235310987	"CTLA4"	"1493"	1	"E.Br.8h.1"
2.15299208532631	"CD86"	"942"	1	"E.Br.8h.1"
2.03273013229552	"CD63"	"967"	1	"E.Br.8h.1"
2.38994997052346	"CD40"	"958"	1	"E.Br.8h.1"
2.25244199386471	"CCL5"	"6352"	1	"E.Br.8h.1"
2.02429383148541	"CCL24"	"6369"	1	"E.Br.8h.1"
2.09613809674775	"CCL22"	"6367"	1	"E.Br.8h.1"
2.06352157204296	"CCL18"	"6362"	1	"E.Br.8h.1"
2.17776037619199	"CCL17"	"6361"	1	"E.Br.8h.1"
2.03834024308767	"C3AR1"	"719"	1	"E.Br.8h.1"
2.36147680647281	"BDKRB2"	"624"	1	"E.Br.8h.1"
2.6763972137703	"BDKRB1"	"623"	1	"E.Br.8h.1"
4.13285272198973	"AREG"	"374"	1	"E.Br.8h.1"
2.12861316515103	"ADM"	"133"	1	"E.Br.8h.1"
2.01651544191395	"ADA"	"100"	1	"E.Br.8h.1"
1.69299612968443	"TLR4"	"7099"	0.0133384124958799	"E.Corn.6h.1"
2.23079561320955	"THBD"	"7056"	2.29694658513136e-05	"E.Corn.6h.1"
3.91454893206431	"IL1RL1"	"9173"	1.43385450289464e-06	"E.Corn.6h.1"
1.67394882700002	"IL1B"	"3553"	0.000152054830881125	"E.Corn.6h.1"
2.793615345	"FOXO1"	"2308"	0.930349438	"E.HN.24h.1"
3.815531143	"AREG"	"374"	0.408474318	"E.HN.24h.1"
3.225429943	"AREG"	"374"	0.608172873	"E.HN.24h.1"
5.71385768	"MMP1"	"4312"	0.408474318	"E.HN.24h.1"
4.100185489	"NGF"	"4803"	0.408474318	"E.HN.24h.1"
3.546175032	"PTGS2"	"5743"	0.408474318	"E.HN.24h.1"
3.717899243	"PTGS2"	"5743"	0.408474318	"E.HN.24h.1"
6.260288239	"IL1RL1"	"9173"	0.408474318	"E.HN.24h.1"
12.26373348	"IL1RL1"	"9173"	0.408474318	"E.HN.24h.1"
4.666311182	"IL1RL1"	"9173"	0.408474318	"E.HN.24h.1"
3.092960078	"CD14"	"929"	0.608172873	"E.HN.24h.1"
3.434626548	"CD86"	"942"	0.408474318	"E.HN.24h.1"
3.522082315	"CD86"	"942"	0.408474318	"E.HN.24h.1"
