"FC"	"Gene.Name"	"Gene.ID"	"P.Value"	"dataset"
-2.60369831382962	"MMP7"	"4316"	0.000252321126612745	"E.Br.24h.1"
-1.70865815598681	"MKI67"	"4288"	0.000401899825672083	"E.Br.24h.1"
-1.5402837242642	"CXCR4"	"7852"	0.00698114889865975	"E.Br.24h.1"
-1.60156833540336	"SLC2A3"	"6515"	0.0605547146006481	"E.Br.24h.4"
-1.30630250087933	"VEGFC"	"7424"	0.00245954069503793	"E.Corn.6h.1"
-1.9713116030497	"TSC22D3"	"1831"	1.78587997377858e-05	"E.Corn.6h.1"
-1.34961812875462	"TSC22D1"	"8848"	0.00115315194007748	"E.Corn.6h.1"
-1.85872880375547	"THBS1"	"7057"	0.00013571588032683	"E.Corn.6h.1"
-1.42011475918596	"SFN"	"2810"	0.000531965280032927	"E.Corn.6h.1"
-1.30510970823766	"JAG1"	"182"	0.0132723735541023	"E.Corn.6h.1"
-1.44640630141033	"INHBA"	"3624"	0.000502234037251167	"E.Corn.6h.1"
-1.40755477115172	"CCND1"	"595"	0.000924415820495904	"E.Corn.6h.1"
-2.00903741510462	"TYMS"	"7298"	0.00346576133505753	"E.Liv.36h.1"
-1.92430834671401	"STMN1"	"3925"	0.00612506572384556	"E.Liv.36h.1"
-1.57241734504672	"SLC2A3"	"6515"	0.0147557803373655	"E.Liv.36h.1"
-2.25768332033899	"MKI67"	"4288"	0.00208559345543809	"E.Liv.36h.1"
-1.62943788217236	"MCM5"	"4174"	0.00411143974557964	"E.Liv.36h.1"
-1.83843851014186	"MCM2"	"4171"	0.00438517381041228	"E.Liv.36h.1"
-1.90481814951405	"KPNA2"	"3838"	0.000860559660546154	"E.Liv.36h.1"
-2.77261240860655	"DKK1"	"22943"	0.0070433285161184	"E.Liv.36h.1"
-1.80554661000778	"AURKB"	"9212"	0.00252840311151382	"E.Liv.36h.1"
-1.67794176693596	"AURKA"	"6790"	0.0354520218959261	"E.Liv.36h.1"
-2.08081293521502	"TNFRSF1B"	"7133"	0.0210410037564844	"E.Liv.8h.1"
-1.99135822667506	"RHOA"	"387"	0.0265068878982681	"E.Liv.8h.1"
-1.53163983606091	"CFLAR"	"8837"	0.0495399594278911	"E.Liv.8h.1"
-1.82496970080946	"THBS1"	"7057"	0.00253246209397812	"E.Lu.24h.1"
-1.38960643063318	"S100A4"	"6275"	0.0626779088807156	"E.Lu.24h.1"
-1.44635815667988	"ITGAV"	"3685"	0.00223448194118501	"E.Lu.24h.1"
-1.93204716628017	"VEGFD"	"2277"	0.00334996213785786	"E.Pan.3d.1"
-1.62820968861232	"VCAN"	"1462"	0.000749777852708147	"E.Pan.3d.1"
-1.78292867199461	"TSC22D3"	"1831"	0.011198993344829	"E.Pan.3d.1"
-1.78720236159679	"THBS1"	"7057"	0.000880583080124029	"E.Pan.3d.1"
-1.57760442212639	"ST3GAL5"	"8869"	0.022058208832676	"E.Pan.3d.1"
-2.26498188545122	"SNAI1"	"6615"	0.000273170412708656	"E.Pan.3d.1"
-1.65926921683432	"SERPINE1"	"5054"	0.00035797478922366	"E.Pan.3d.1"
-2.43302703873435	"S100A4"	"6275"	7.05184490593653e-05	"E.Pan.3d.1"
-1.93015111699561	"PTGER4"	"5734"	0.00733500562277606	"E.Pan.3d.1"
-2.29205779803459	"PPARG"	"5468"	1.2582340672455e-05	"E.Pan.3d.1"
-2.27626567566652	"PLAU"	"5328"	0.00217871087640308	"E.Pan.3d.1"
-1.90694937056183	"PLA2G16"	"11145"	0.00280851248801154	"E.Pan.3d.1"
-2.15954493767109	"MMP2"	"4313"	2.53839276315118e-05	"E.Pan.3d.1"
-1.54569877814658	"MDM2"	"4193"	0.027868779875351	"E.Pan.3d.1"
-2.53114338319012	"JAG1"	"182"	2.65701804516323e-06	"E.Pan.3d.1"
-3.90302464727602	"INHBA"	"3624"	4.54737956507795e-06	"E.Pan.3d.1"
-3.9368943293105	"IGFBP3"	"3486"	1.30936856656666e-05	"E.Pan.3d.1"
-2.28880936431663	"GPC3"	"2719"	4.68277150261939e-06	"E.Pan.3d.1"
-1.61293194971073	"FOS"	"2353"	0.00793072694286788	"E.Pan.3d.1"
-1.76050104162816	"F2R"	"2149"	0.00300448551132808	"E.Pan.3d.1"
-1.7775761089322	"DPP4"	"1803"	0.000185184731012079	"E.Pan.3d.1"
-1.9866235866503	"DDR1"	"780"	0.00470108192772267	"E.Pan.3d.1"
-3.54054055795701	"CTGF"	"1490"	6.0709810964629e-07	"E.Pan.3d.1"
-1.50050738779705	"CDKN1A"	"1026"	0.0499083594302739	"E.Pan.3d.1"
-1.6997532209197	"CCND1"	"595"	0.00842980149471779	"E.Pan.3d.1"
-2.21367283953549	"CAV1"	"857"	0.000107613079073499	"E.Pan.3d.1"
-2.18901836455477	"ALDH1A1"	"216"	0.00026071354037461	"E.Pan.3d.1"
-4.1387129037645	"VCAN"	"1462"	8.30073861382118e-06	"E.Pan.7d.1"
