"FC"	"Gene.Name"	"Gene.ID"	"P.Value"	"dataset"
2.07885184757703	"VEGFA"	"7422"	1	"E.Br.20h.1"
2.20291531620069	"TNF"	"7124"	1	"E.Br.20h.1"
2.96678533909265	"THBS1"	"7057"	1	"E.Br.20h.1"
2.15744633148035	"TGM2"	"7052"	1	"E.Br.20h.1"
2.38544121411506	"TGFA"	"7039"	1	"E.Br.20h.1"
2.18492166801569	"TACSTD2"	"4070"	1	"E.Br.20h.1"
2.05571435727568	"SRC"	"6714"	1	"E.Br.20h.1"
2.36042185173926	"SPON1"	"10418"	1	"E.Br.20h.1"
3.1030839710768	"SLC2A3"	"6515"	1	"E.Br.20h.1"
2.25418030816794	"SERPINE1"	"5054"	1	"E.Br.20h.1"
2.30528541452371	"SDC1"	"6382"	1	"E.Br.20h.1"
2.10881036562197	"RHOC"	"389"	1	"E.Br.20h.1"
2.14037125365973	"RCAN1"	"1827"	1	"E.Br.20h.1"
2.05762849877013	"PRKCZ"	"5590"	1	"E.Br.20h.1"
2.0964317548241	"PRDM2"	"7799"	1	"E.Br.20h.1"
2.01498183789285	"PPARG"	"5468"	1	"E.Br.20h.1"
2.44284821347058	"PPARD"	"5467"	1	"E.Br.20h.1"
2.02303658461646	"PINX1"	"54984"	1	"E.Br.20h.1"
2.18696998860623	"PDPN"	"10630"	1	"E.Br.20h.1"
2.34581313060027	"NOTCH3"	"4854"	1	"E.Br.20h.1"
2.3891622021428	"NOTCH1"	"4851"	1	"E.Br.20h.1"
2.34930467650092	"MMP2"	"4313"	1	"E.Br.20h.1"
2.03210415464195	"MIF"	"4282"	1	"E.Br.20h.1"
2.04067049899971	"MDM2"	"4193"	1	"E.Br.20h.1"
2.23129332317577	"LZTS1"	"11178"	1	"E.Br.20h.1"
2.20072008726693	"JAG1"	"182"	1	"E.Br.20h.1"
2.05067539600136	"IP6K2"	"51447"	1	"E.Br.20h.1"
2.5308063288637	"IL6"	"3569"	1	"E.Br.20h.1"
3.55299878770931	"IGFBP3"	"3486"	1	"E.Br.20h.1"
2.06072947022768	"HSPB1"	"3315"	1	"E.Br.20h.1"
2.57932118233333	"HOXA10"	"3206"	1	"E.Br.20h.1"
2.19357536794535	"HLA-DRB1"	"3123"	1	"E.Br.20h.1"
2.12154871349438	"HLA-DQB1"	"3119"	1	"E.Br.20h.1"
2.27816509170057	"HLA-DQA1"	"3117"	1	"E.Br.20h.1"
2.21134020896284	"HIF1A"	"3091"	1	"E.Br.20h.1"
2.48157649091559	"HFE"	"3077"	1	"E.Br.20h.1"
2.28303493548267	"HAS1"	"3036"	1	"E.Br.20h.1"
2.27298492417841	"GPC3"	"2719"	1	"E.Br.20h.1"
2.25554730913088	"FOS"	"2353"	1	"E.Br.20h.1"
2.04286713175174	"F2R"	"2149"	1	"E.Br.20h.1"
2.00790118863135	"ETV5"	"2119"	1	"E.Br.20h.1"
2.09262067015127	"ETV4"	"2118"	1	"E.Br.20h.1"
2.06251302142149	"ERBB2"	"2064"	1	"E.Br.20h.1"
2.38372033688416	"EGFR"	"1956"	1	"E.Br.20h.1"
2.20489356567333	"EGF"	"1950"	1	"E.Br.20h.1"
2.24211610992698	"EDNRA"	"1909"	1	"E.Br.20h.1"
2.08221837930272	"EDN1"	"1906"	1	"E.Br.20h.1"
2.04601395836531	"DPYD"	"1806"	1	"E.Br.20h.1"
2.60157399597716	"DKK1"	"22943"	1	"E.Br.20h.1"
2.06812936050117	"CXCL8"	"3576"	1	"E.Br.20h.1"
2.18563350448934	"CXCL1"	"2919"	1	"E.Br.20h.1"
2.37241596618778	"CHP2"	"63928"	1	"E.Br.20h.1"
2.57605353946936	"CFLAR"	"8837"	1	"E.Br.20h.1"
2.84441652075842	"CDKN1A"	"1026"	1	"E.Br.20h.1"
2.40907265959645	"CD80"	"941"	1	"E.Br.20h.1"
2.35577069858605	"CCND1"	"595"	1	"E.Br.20h.1"
2.08384234587108	"CCL18"	"6362"	1	"E.Br.20h.1"
2.09133059231672	"CCL11"	"6356"	1	"E.Br.20h.1"
3.21602779411155	"ARHGEF6"	"9459"	1	"E.Br.20h.1"
2.17767578685239	"ABCB11"	"8647"	1	"E.Br.20h.1"
2.0826313185702	"ABCB1"	"5243"	1	"E.Br.20h.1"
1.54259860169767	"ETV5"	"2119"	0.00493564959779732	"E.Br.24h.1"
1.68507370163121	"EIF4EBP1"	"1978"	0.0168335069933058	"E.Br.24h.1"
1.57324436278574	"DUSP1"	"1843"	0.00140974597941847	"E.Br.24h.1"
1.65356698720638	"EGFR"	"1956"	0.0675968844582344	"E.Br.24h.2"
1.65356698720638	"EGFR"	"1956"	0.0675968844582344	"E.Br.24h.3"
1.55667474779513	"SLC2A3"	"6515"	0.0582856085997627	"E.Br.30d.1"
1.3007414886044	"IL6"	"3569"	0.0591816235848864	"E.Br.30d.1"
2.15489905692272	"FOS"	"2353"	0.00833591846251224	"E.Br.30d.1"
2.06853160872407	"VEGFD"	"2277"	1	"E.Br.50h.1"
2.13812154875626	"VEGFC"	"7424"	1	"E.Br.50h.1"
2.18286469739041	"TP53"	"7157"	1	"E.Br.50h.1"
2.51590884680921	"TNF"	"7124"	1	"E.Br.50h.1"
3.38618225930644	"THBS1"	"7057"	1	"E.Br.50h.1"
2.05582280798406	"TGM2"	"7052"	1	"E.Br.50h.1"
2.35776333788958	"TGFA"	"7039"	1	"E.Br.50h.1"
2.21445774579767	"TACSTD2"	"4070"	1	"E.Br.50h.1"
2.06343847887191	"SRC"	"6714"	1	"E.Br.50h.1"
2.51496692630878	"SPON1"	"10418"	1	"E.Br.50h.1"
3.06483601634125	"SLC2A3"	"6515"	1	"E.Br.50h.1"
2.47164205914264	"SERPINE1"	"5054"	1	"E.Br.50h.1"
2.2565524249208	"SDC1"	"6382"	1	"E.Br.50h.1"
2.01114180160355	"RHOC"	"389"	1	"E.Br.50h.1"
2.76355999475417	"RCAN1"	"1827"	1	"E.Br.50h.1"
2.06816690494243	"PTGS2"	"5743"	1	"E.Br.50h.1"
2.11087798940025	"PTGER2"	"5732"	1	"E.Br.50h.1"
2.20064502484289	"PRKCZ"	"5590"	1	"E.Br.50h.1"
2.08114651490896	"PRDM2"	"7799"	1	"E.Br.50h.1"
2.81976355983812	"PPARD"	"5467"	1	"E.Br.50h.1"
2.01513324796887	"PLSCR1"	"5359"	1	"E.Br.50h.1"
2.17880182241629	"PDPN"	"10630"	1	"E.Br.50h.1"
2.18512429433086	"NOTCH3"	"4854"	1	"E.Br.50h.1"
2.16617811088554	"NOTCH1"	"4851"	1	"E.Br.50h.1"
2.13000999205322	"NFE2L2"	"4780"	1	"E.Br.50h.1"
4.1360692341618	"MMP2"	"4313"	1	"E.Br.50h.1"
2.0516002526374	"MDM2"	"4193"	1	"E.Br.50h.1"
2.09948663501148	"LZTS1"	"11178"	1	"E.Br.50h.1"
2.24248451976953	"JAG1"	"182"	1	"E.Br.50h.1"
2.08308343280363	"ITGAV"	"3685"	1	"E.Br.50h.1"
2.19919328757248	"IP6K2"	"51447"	1	"E.Br.50h.1"
2.44058314550399	"IL6"	"3569"	1	"E.Br.50h.1"
4.96270829738744	"IGFBP3"	"3486"	1	"E.Br.50h.1"
2.17466794620069	"HSPB1"	"3315"	1	"E.Br.50h.1"
2.0877977493767	"HLA-DQB1"	"3119"	1	"E.Br.50h.1"
2.01150902938523	"HLA-DQA1"	"3117"	1	"E.Br.50h.1"
2.27417923860512	"HIF1A"	"3091"	1	"E.Br.50h.1"
2.14558898019289	"HFE"	"3077"	1	"E.Br.50h.1"
2.09311173820799	"HAS1"	"3036"	1	"E.Br.50h.1"
2.1051735540427	"GPC3"	"2719"	1	"E.Br.50h.1"
2.32102505548709	"FOS"	"2353"	1	"E.Br.50h.1"
2.02927727055472	"FHL2"	"2274"	1	"E.Br.50h.1"
2.19005704104452	"ERBB2"	"2064"	1	"E.Br.50h.1"
2.23559224242179	"EGFR"	"1956"	1	"E.Br.50h.1"
2.54149197949123	"EGF"	"1950"	1	"E.Br.50h.1"
2.16464413094277	"EDNRA"	"1909"	1	"E.Br.50h.1"
2.13150181858557	"EDN1"	"1906"	1	"E.Br.50h.1"
2.05702311455412	"DPYD"	"1806"	1	"E.Br.50h.1"
2.69903282854602	"DKK1"	"22943"	1	"E.Br.50h.1"
2.47177286587295	"CXCL8"	"3576"	1	"E.Br.50h.1"
2.14616487930734	"CHP2"	"63928"	1	"E.Br.50h.1"
3.34673938759032	"CFLAR"	"8837"	1	"E.Br.50h.1"
4.02838460764774	"CDKN1A"	"1026"	1	"E.Br.50h.1"
2.32574191478491	"CD80"	"941"	1	"E.Br.50h.1"
2.75913037404039	"CCND1"	"595"	1	"E.Br.50h.1"
2.19098356312908	"CCL11"	"6356"	1	"E.Br.50h.1"
2.04147563788634	"CASP3"	"836"	1	"E.Br.50h.1"
2.12959132670599	"BRCA2"	"675"	1	"E.Br.50h.1"
2.04298930868704	"BMI1"	"648"	1	"E.Br.50h.1"
2.83891372192999	"ARHGEF6"	"9459"	1	"E.Br.50h.1"
3.39443594618887	"ALDH1A1"	"216"	1	"E.Br.50h.1"
2.03331515224865	"ABCB11"	"8647"	1	"E.Br.50h.1"
2.14788862781412	"ABCB1"	"5243"	1	"E.Br.50h.1"
2.08740383328814	"VEGFA"	"7422"	1	"E.Br.8h.1"
2.02752966333293	"TXN"	"7295"	1	"E.Br.8h.1"
2.1223332608506	"TSC22D3"	"1831"	1	"E.Br.8h.1"
2.06114851649028	"TNF"	"7124"	1	"E.Br.8h.1"
2.86650059946667	"THBS1"	"7057"	1	"E.Br.8h.1"
2.15981048674159	"TGM2"	"7052"	1	"E.Br.8h.1"
2.0676048155813	"TGFA"	"7039"	1	"E.Br.8h.1"
2.35822467988112	"TACSTD2"	"4070"	1	"E.Br.8h.1"
2.22387207059673	"SPON1"	"10418"	1	"E.Br.8h.1"
2.74403757209396	"SLC2A3"	"6515"	1	"E.Br.8h.1"
2.03246746246272	"SFN"	"2810"	1	"E.Br.8h.1"
2.36926930158192	"SERPINE1"	"5054"	1	"E.Br.8h.1"
2.4880866194499	"SDC1"	"6382"	1	"E.Br.8h.1"
2.02987534629735	"RHOC"	"389"	1	"E.Br.8h.1"
2.51905043661361	"RCAN1"	"1827"	1	"E.Br.8h.1"
2.11538319889922	"RBL2"	"5934"	1	"E.Br.8h.1"
2.05289887067333	"PTGS2"	"5743"	1	"E.Br.8h.1"
