"FC"	"Gene.Name"	"Gene.ID"	"P.Value"	"dataset"
-1.43232557923899	"CD180"	"4064"	0.0819937130193686	"E.Br.24h.2"
-1.43232557923899	"CD180"	"4064"	0.0819937130193686	"E.Br.24h.3"
-1.49814103411728	"FCGR2A"	"2212"	0.050357095674124	"E.Liv.8h.1"
-1.52105913126375	"AQP3"	"360"	0.0275680856736168	"E.Lu.24h.1"
-1.65926921683432	"SERPINE1"	"5054"	0.00035797478922366	"E.Pan.3d.1"
-2.29205779803459	"PPARG"	"5468"	1.2582340672455e-05	"E.Pan.3d.1"
-2.15954493767109	"MMP2"	"4313"	2.53839276315118e-05	"E.Pan.3d.1"
-4.13190981105797	"ADM"	"133"	1.70042419860334e-06	"E.Pan.3d.1"
-2.6036692315068	"SERPINE1"	"5054"	8.17577064946217e-06	"E.Pan.7d.1"
-3.34493966104252	"PPARG"	"5468"	5.91414042985561e-05	"E.Pan.7d.1"
-4.18796792635782	"MMP2"	"4313"	1.02986140514117e-06	"E.Pan.7d.1"
-2.96228976413512	"CD44"	"960"	4.03883416436462e-05	"E.Pan.7d.1"
-2.37435792314101	"ADM"	"133"	0.000340875679137839	"E.Pan.7d.1"
-2.22239373293738	"TNFRSF11B"	"4982"	0.00215065967749068	"E.Pr.24h.1"
-1.57817541751397	"SERPINE1"	"5054"	0.0051915379111724	"E.Pr.24h.1"
-1.95885891876147	"PROM1"	"8842"	0.00196513726368072	"E.Pr.24h.1"
-1.58931119826096	"MMP2"	"4313"	0.0109434385629098	"E.Pr.24h.1"
-1.57348298559371	"INPP5D"	"3635"	0.00166454488119863	"E.Pr.24h.1"
-2.25796872546697	"IL2RA"	"3559"	0.0130498486452245	"E.Pr.24h.1"
-2.36833475051173	"IL1RN"	"3557"	0.000449192360007968	"E.Pr.24h.1"
-2.01365564658307	"FPR1"	"2357"	0.000949751022086745	"E.Pr.24h.1"
-1.60354276547268	"FOXP3"	"50943"	0.0214789250751459	"E.Pr.24h.1"
-1.52515384047777	"FCGR2A"	"2212"	0.0413251722298493	"E.Pr.24h.1"
-1.72837469614657	"CCR5"	"1234"	0.00708701083572935	"E.Pr.24h.1"
-1.7405499044088	"CCL2"	"6347"	0.000223232707345207	"E.Pr.24h.1"
-1.79810760203508	"ADM"	"133"	0.000145838505061102	"E.Pr.24h.1"
-3.26834184625991	"TNFRSF11B"	"4982"	4.65843404482345e-07	"E.Pr.24h.2"
-1.67477279542588	"SERPINE1"	"5054"	0.00120519457400039	"E.Pr.24h.2"
-1.76171282099719	"MMP9"	"4318"	7.14009409696753e-05	"E.Pr.24h.2"
-2.05165682954927	"IL6"	"3569"	1.09439976838367e-05	"E.Pr.24h.2"
-1.97988414921772	"IL1A"	"3552"	2.52846144307736e-06	"E.Pr.24h.2"
-1.53142284099552	"IL11"	"3589"	0.000374732844355755	"E.Pr.24h.2"
-2.04212216414526	"F2RL1"	"2150"	5.24726893131753e-06	"E.Pr.24h.2"
-1.59461223523362	"DEFB4"	"1673"	1.88344315139068e-05	"E.Pr.24h.2"
-1.59772512627409	"DEFB1"	"1672"	0.0003620897534037	"E.Pr.24h.2"
-1.70059237837615	"CXCL6"	"6372"	4.10700169099123e-05	"E.Pr.24h.2"
-1.63403292926508	"CTSC"	"1075"	3.15159197501112e-05	"E.Pr.24h.2"
-1.77919497727857	"CDKN2B"	"1030"	0.000205229614273131	"E.Pr.24h.2"
-2.32947281042423	"CCL2"	"6347"	1.17939300297416e-05	"E.Pr.24h.2"
-1.53724901402068	"ADM"	"133"	0.000687943302500519	"E.Pr.24h.2"
-1.99054271976546	"MMP2"	"4313"	3.94360370035446e-08	"E.Pr.24h.3"
-2.723581143057	"CCL2"	"6347"	2.1087713828411e-09	"E.Pr.24h.3"
-3.20042185652914	"MMP2"	"4313"	2.27710830513711e-12	"E.Pr.48h.1"
-1.71776833674237	"IL6"	"3569"	1.20842765988748e-06	"E.Pr.48h.1"
-1.55327925111304	"IL1R2"	"7850"	2.93715420034818e-06	"E.Pr.48h.1"
-1.51725926998016	"IL12RB2"	"3595"	0.000105869394637792	"E.Pr.48h.1"
-1.98899713534183	"CYP1A1"	"1543"	1.27187975540487e-07	"E.Pr.48h.1"
-3.5658448560615	"CCL2"	"6347"	2.38811443446453e-11	"E.Pr.48h.1"
-2.14217572747679	"IL1RN"	"3557"	0.0383792746417672	"E.Pr.48h.2"
-1.82700715999395	"CYP1A1"	"1543"	0.00723684918432206	"E.Pr.48h.2"
-2.18232609679319	"IL1RN"	"3557"	0.0256419994556893	"E.Pr.48h.3"
-1.51732246789476	"FCGR2B"	"2213"	0.0184202770075998	"E.Pr.48h.3"
