"FC"	"Gene.Name"	"Gene.ID"	"P.Value"	"dataset"
2.07885184757703	"VEGFA"	"7422"	1	"E.Br.20h.1"
2.69252001752779	"TNFSF13B"	"10673"	1	"E.Br.20h.1"
2.20291531620069	"TNF"	"7124"	1	"E.Br.20h.1"
2.05584532012527	"TLR4"	"7099"	1	"E.Br.20h.1"
2.19752198352747	"SFTPD"	"6441"	1	"E.Br.20h.1"
2.25418030816794	"SERPINE1"	"5054"	1	"E.Br.20h.1"
2.01498183789285	"PPARG"	"5468"	1	"E.Br.20h.1"
2.18696998860623	"PDPN"	"10630"	1	"E.Br.20h.1"
2.14265087360374	"ODC1"	"4953"	1	"E.Br.20h.1"
2.34930467650092	"MMP2"	"4313"	1	"E.Br.20h.1"
2.02503819900413	"INPP5D"	"3635"	1	"E.Br.20h.1"
2.5308063288637	"IL6"	"3569"	1	"E.Br.20h.1"
2.53712432008915	"IL4"	"3565"	1	"E.Br.20h.1"
2.05843595462867	"IL1R2"	"7850"	1	"E.Br.20h.1"
2.15060579764719	"IL16"	"3603"	1	"E.Br.20h.1"
2.12504037202814	"IL12RB2"	"3595"	1	"E.Br.20h.1"
2.12154871349438	"HLA-DQB1"	"3119"	1	"E.Br.20h.1"
2.05831716111468	"FPR1"	"2357"	1	"E.Br.20h.1"
2.62331348678397	"CYP1A1"	"1543"	1	"E.Br.20h.1"
2.06812936050117	"CXCL8"	"3576"	1	"E.Br.20h.1"
2.0597225267903	"CTLA4"	"1493"	1	"E.Br.20h.1"
2.22057477108716	"CSF1"	"1435"	1	"E.Br.20h.1"
2.34586445917415	"CD180"	"4064"	1	"E.Br.20h.1"
2.02822198840874	"CCL7"	"6354"	1	"E.Br.20h.1"
2.09064892308581	"CCL5"	"6352"	1	"E.Br.20h.1"
2.13795257955969	"CASP7"	"840"	1	"E.Br.20h.1"
2.04032976319629	"ADM"	"133"	1	"E.Br.20h.1"
2.63589608793039	"CYP1A1"	"1543"	9.39476812289461e-06	"E.Br.24h.1"
1.3007414886044	"IL6"	"3569"	0.0591816235848864	"E.Br.30d.1"
1.81117254474593	"ADM"	"133"	0.0721111233118682	"E.Br.30d.1"
2.0822176045777	"TNFSF13B"	"10673"	1	"E.Br.50h.1"
2.51590884680921	"TNF"	"7124"	1	"E.Br.50h.1"
2.13831242497236	"TLR4"	"7099"	1	"E.Br.50h.1"
2.47164205914264	"SERPINE1"	"5054"	1	"E.Br.50h.1"
2.06816690494243	"PTGS2"	"5743"	1	"E.Br.50h.1"
2.17880182241629	"PDPN"	"10630"	1	"E.Br.50h.1"
2.31700992102619	"ODC1"	"4953"	1	"E.Br.50h.1"
4.1360692341618	"MMP2"	"4313"	1	"E.Br.50h.1"
2.44058314550399	"IL6"	"3569"	1	"E.Br.50h.1"
2.15736209957848	"IL4"	"3565"	1	"E.Br.50h.1"
2.05005198311225	"IL1R2"	"7850"	1	"E.Br.50h.1"
2.21999084015603	"IL16"	"3603"	1	"E.Br.50h.1"
2.0877977493767	"HLA-DQB1"	"3119"	1	"E.Br.50h.1"
2.17569269315607	"FPR1"	"2357"	1	"E.Br.50h.1"
2.04002979880892	"DGKA"	"1606"	1	"E.Br.50h.1"
4.59308540721105	"CYP1A1"	"1543"	1	"E.Br.50h.1"
2.47177286587295	"CXCL8"	"3576"	1	"E.Br.50h.1"
2.06114828955984	"CXCL6"	"6372"	1	"E.Br.50h.1"
2.0264350720793	"CTLA4"	"1493"	1	"E.Br.50h.1"
2.13190908255734	"CSF1"	"1435"	1	"E.Br.50h.1"
2.06182368456498	"CD180"	"4064"	1	"E.Br.50h.1"
2.2376696054736	"CCL5"	"6352"	1	"E.Br.50h.1"
2.04147563788634	"CASP3"	"836"	1	"E.Br.50h.1"
2.65853927079006	"ADM"	"133"	1	"E.Br.50h.1"
2.08740383328814	"VEGFA"	"7422"	1	"E.Br.8h.1"
2.14346634848945	"TNFSF13B"	"10673"	1	"E.Br.8h.1"
2.06114851649028	"TNF"	"7124"	1	"E.Br.8h.1"
2.09289572829319	"TLR4"	"7099"	1	"E.Br.8h.1"
2.10189860138379	"SFTPD"	"6441"	1	"E.Br.8h.1"
2.36926930158192	"SERPINE1"	"5054"	1	"E.Br.8h.1"
2.05289887067333	"PTGS2"	"5743"	1	"E.Br.8h.1"
2.40309897906737	"PDPN"	"10630"	1	"E.Br.8h.1"
2.01341582210579	"ODC1"	"4953"	1	"E.Br.8h.1"
2.01743120470739	"NOD1"	"10392"	1	"E.Br.8h.1"
2.07905905560303	"MMP2"	"4313"	1	"E.Br.8h.1"
2.21233621086041	"INPP5D"	"3635"	1	"E.Br.8h.1"
2.11596049693298	"IL6"	"3569"	1	"E.Br.8h.1"
2.11791703327121	"IL4"	"3565"	1	"E.Br.8h.1"
2.07128196721921	"IL1R2"	"7850"	1	"E.Br.8h.1"
2.11220193264872	"IL12RB2"	"3595"	1	"E.Br.8h.1"
2.09850199939558	"HLA-DQB1"	"3119"	1	"E.Br.8h.1"
2.10684174738838	"FPR1"	"2357"	1	"E.Br.8h.1"
2.1419369338253	"CYP1A1"	"1543"	1	"E.Br.8h.1"
2.22555629956146	"CXCL8"	"3576"	1	"E.Br.8h.1"
2.10486235310987	"CTLA4"	"1493"	1	"E.Br.8h.1"
2.11405326632199	"CSF1"	"1435"	1	"E.Br.8h.1"
2.05971086967629	"CD180"	"4064"	1	"E.Br.8h.1"
2.12182199258826	"CCL7"	"6354"	1	"E.Br.8h.1"
2.25244199386471	"CCL5"	"6352"	1	"E.Br.8h.1"
2.09246438829981	"CASP7"	"840"	1	"E.Br.8h.1"
2.01872856330933	"CASP3"	"836"	1	"E.Br.8h.1"
2.12861316515103	"ADM"	"133"	1	"E.Br.8h.1"
1.69299612968443	"TLR4"	"7099"	0.0133384124958799	"E.Corn.6h.1"
1.57037680479788	"PDPN"	"10630"	0.000356317544282138	"E.Corn.6h.1"
1.67394882700002	"IL1B"	"3553"	0.000152054830881125	"E.Corn.6h.1"
1.95747591505263	"HLA-DQB1"	"3119"	0.0337474535849544	"E.Corn.6h.1"
1.7463893276058	"CSF1"	"1435"	0.000243687751668475	"E.Corn.6h.1"
1.73820312476166	"CEBPB"	"1051"	0.000114438200518707	"E.Corn.6h.1"
3.606379599	"PDPN"	"10630"	0.408474318	"E.HN.24h.1"
2.85940736	"PDPN"	"10630"	0.930349438	"E.HN.24h.1"
