"FC"	"Gene.Name"	"Gene.ID"	"P.Value"	"dataset"
-2.60369831382962	"MMP7"	"4316"	0.000252321126612745	"E.Br.24h.1"
-1.5402837242642	"CXCR4"	"7852"	0.00698114889865975	"E.Br.24h.1"
-1.40755477115172	"CCND1"	"595"	0.000924415820495904	"E.Corn.6h.1"
-1.99135822667506	"RHOA"	"387"	0.0265068878982681	"E.Liv.8h.1"
-1.53163983606091	"CFLAR"	"8837"	0.0495399594278911	"E.Liv.8h.1"
-1.65820669307198	"STX2"	"2054"	0.00660302172799568	"E.Pan.3d.1"
-1.65926921683432	"SERPINE1"	"5054"	0.00035797478922366	"E.Pan.3d.1"
-2.27626567566652	"PLAU"	"5328"	0.00217871087640308	"E.Pan.3d.1"
-2.15954493767109	"MMP2"	"4313"	2.53839276315118e-05	"E.Pan.3d.1"
-2.70207217419343	"IGFBP5"	"3488"	0.000187342336851518	"E.Pan.3d.1"
-3.9368943293105	"IGFBP3"	"3486"	1.30936856656666e-05	"E.Pan.3d.1"
-1.9866235866503	"DDR1"	"780"	0.00470108192772267	"E.Pan.3d.1"
-2.46412291927046	"COL3A1"	"1281"	0.000731008914334891	"E.Pan.3d.1"
-1.6997532209197	"CCND1"	"595"	0.00842980149471779	"E.Pan.3d.1"
-2.04528538050818	"BDNF"	"627"	0.00106010903502066	"E.Pan.3d.1"
-2.22690350840442	"APOE"	"348"	0.00526915092337753	"E.Pan.3d.1"
-1.97121901348327	"STX2"	"2054"	0.00810957326206758	"E.Pan.7d.1"
-2.6036692315068	"SERPINE1"	"5054"	8.17577064946217e-06	"E.Pan.7d.1"
-2.98843443403476	"PLAU"	"5328"	0.000622435507472969	"E.Pan.7d.1"
-4.09648604529984	"MYLK"	"4638"	3.3229766582142e-05	"E.Pan.7d.1"
-4.18796792635782	"MMP2"	"4313"	1.02986140514117e-06	"E.Pan.7d.1"
-1.52668480694054	"MIF"	"4282"	0.00915523262972795	"E.Pan.7d.1"
-22.7535957821186	"IGFBP3"	"3486"	1.6603231593064e-08	"E.Pan.7d.1"
-2.34487724322434	"CTSK"	"1513"	0.0364829951808208	"E.Pan.7d.1"
-2.66527898087308	"COL3A1"	"1281"	0.00155378282993869	"E.Pan.7d.1"
-1.66796404221212	"COL1A1"	"1277"	0.0103124308031112	"E.Pan.7d.1"
-3.2028213713208	"CCND1"	"595"	1.16450329935291e-05	"E.Pan.7d.1"
-2.24357886573382	"BDNF"	"627"	0.00014406783864297	"E.Pan.7d.1"
-1.57817541751397	"SERPINE1"	"5054"	0.0051915379111724	"E.Pr.24h.1"
-1.59267079337081	"MYLK"	"4638"	0.0458787088599623	"E.Pr.24h.1"
-1.58931119826096	"MMP2"	"4313"	0.0109434385629098	"E.Pr.24h.1"
-2.36833475051173	"IL1RN"	"3557"	0.000449192360007968	"E.Pr.24h.1"
