"FC"	"Gene.Name"	"Gene.ID"	"P.Value"	"dataset"
2.07885184757703	"VEGFA"	"7422"	1	"E.Br.20h.1"
2.27148414601093	"TREM1"	"54210"	1	"E.Br.20h.1"
2.20291531620069	"TNF"	"7124"	1	"E.Br.20h.1"
3.95095427168241	"THBD"	"7056"	1	"E.Br.20h.1"
2.01479184881139	"TFPI"	"7035"	1	"E.Br.20h.1"
2.06778115536773	"SLPI"	"6590"	1	"E.Br.20h.1"
2.19752198352747	"SFTPD"	"6441"	1	"E.Br.20h.1"
2.25418030816794	"SERPINE1"	"5054"	1	"E.Br.20h.1"
2.10365156989166	"SERPINA1"	"5265"	1	"E.Br.20h.1"
2.1120081461123	"MUC1"	"4582"	1	"E.Br.20h.1"
2.34930467650092	"MMP2"	"4313"	1	"E.Br.20h.1"
2.03210415464195	"MIF"	"4282"	1	"E.Br.20h.1"
2.46218503769987	"LGALS9"	"3965"	1	"E.Br.20h.1"
2.38725700394685	"IRAK3"	"11213"	1	"E.Br.20h.1"
2.29990042596048	"IL6ST"	"3572"	1	"E.Br.20h.1"
2.5308063288637	"IL6"	"3569"	1	"E.Br.20h.1"
2.53712432008915	"IL4"	"3565"	1	"E.Br.20h.1"
2.02042481919136	"IL13RA1"	"3597"	1	"E.Br.20h.1"
2.13688307686502	"IGFBP5"	"3488"	1	"E.Br.20h.1"
3.55299878770931	"IGFBP3"	"3486"	1	"E.Br.20h.1"
2.06812936050117	"CXCL8"	"3576"	1	"E.Br.20h.1"
2.25845550488504	"CTSK"	"1513"	1	"E.Br.20h.1"
2.57605353946936	"CFLAR"	"8837"	1	"E.Br.20h.1"
2.54205024724703	"CD274"	"29126"	1	"E.Br.20h.1"
2.35577069858605	"CCND1"	"595"	1	"E.Br.20h.1"
2.08384234587108	"CCL18"	"6362"	1	"E.Br.20h.1"
2.09731189902885	"CCL17"	"6361"	1	"E.Br.20h.1"
2.06087922571346	"BPI"	"671"	1	"E.Br.20h.1"
2.0121514173309	"BDNF"	"627"	1	"E.Br.20h.1"
2.20022542342482	"APOE"	"348"	1	"E.Br.20h.1"
3.9353941778773	"HMOX1"	"3162"	5.3526417306964e-07	"E.Br.24h.1"
1.48135267843979	"TREM1"	"54210"	0.0758991114825193	"E.Br.24h.2"
2.25260964055863	"THBD"	"7056"	0.0779860688087309	"E.Br.24h.2"
1.48135267843979	"TREM1"	"54210"	0.0758991114825193	"E.Br.24h.3"
2.25260964055863	"THBD"	"7056"	0.0779860688087309	"E.Br.24h.3"
1.3007414886044	"IL6"	"3569"	0.0591816235848864	"E.Br.30d.1"
4.71606687034195	"TREM1"	"54210"	1	"E.Br.50h.1"
2.51590884680921	"TNF"	"7124"	1	"E.Br.50h.1"
2.27892720365249	"TNC"	"3371"	1	"E.Br.50h.1"
11.0159554117456	"THBD"	"7056"	1	"E.Br.50h.1"
2.20445400195202	"TFPI"	"7035"	1	"E.Br.50h.1"
2.00112665200844	"SLPI"	"6590"	1	"E.Br.50h.1"
2.47164205914264	"SERPINE1"	"5054"	1	"E.Br.50h.1"
2.07436696098825	"SERPINA1"	"5265"	1	"E.Br.50h.1"
2.06816690494243	"PTGS2"	"5743"	1	"E.Br.50h.1"
2.12404762532634	"MUC1"	"4582"	1	"E.Br.50h.1"
4.1360692341618	"MMP2"	"4313"	1	"E.Br.50h.1"
2.09487791549837	"LGALS9"	"3965"	1	"E.Br.50h.1"
2.01751307709426	"IRAK3"	"11213"	1	"E.Br.50h.1"
