"FC"	"Gene.Name"	"Gene.ID"	"P.Value"	"dataset"
-1.5402837242642	"CXCR4"	"7852"	0.00698114889865975	"E.Br.24h.1"
-1.44260870395603	"BCL2L11"	"10018"	0.0977444219840382	"E.Br.24h.2"
-1.44260870395603	"BCL2L11"	"10018"	0.0977444219840382	"E.Br.24h.3"
-1.55659017484379	"PRDM1"	"639"	0.0475612813343799	"E.Liv.36h.1"
-1.50573192674689	"ARF6"	"382"	0.0318655564580228	"E.Liv.36h.1"
-2.08081293521502	"TNFRSF1B"	"7133"	0.0210410037564844	"E.Liv.8h.1"
-1.49814103411728	"FCGR2A"	"2212"	0.050357095674124	"E.Liv.8h.1"
-1.38789450215204	"CEACAM1"	"634"	0.0612735480182391	"E.Liv.8h.1"
-1.65926921683432	"SERPINE1"	"5054"	0.00035797478922366	"E.Pan.3d.1"
-1.64502900584626	"PTX3"	"5806"	0.0254257641825156	"E.Pan.3d.1"
-2.29205779803459	"PPARG"	"5468"	1.2582340672455e-05	"E.Pan.3d.1"
-2.28161153103402	"IGF1"	"3479"	0.000324122574826113	"E.Pan.3d.1"
-2.22690350840442	"APOE"	"348"	0.00526915092337753	"E.Pan.3d.1"
-2.6036692315068	"SERPINE1"	"5054"	8.17577064946217e-06	"E.Pan.7d.1"
-1.73331810384061	"PTX3"	"5806"	0.0468170886857425	"E.Pan.7d.1"
-3.34493966104252	"PPARG"	"5468"	5.91414042985561e-05	"E.Pan.7d.1"
-1.52668480694054	"MIF"	"4282"	0.00915523262972795	"E.Pan.7d.1"
-3.64070189263337	"ITGA5"	"3678"	1.42403647933733e-07	"E.Pan.7d.1"
-1.83989904009058	"IGF1"	"3479"	0.00959247128360426	"E.Pan.7d.1"
-1.91601944431394	"BCL2"	"596"	0.0123273869305794	"E.Pan.7d.1"
-2.22239373293738	"TNFRSF11B"	"4982"	0.00215065967749068	"E.Pr.24h.1"
-1.57817541751397	"SERPINE1"	"5054"	0.0051915379111724	"E.Pr.24h.1"
-1.77380100205173	"MAF"	"4094"	0.0100148677253686	"E.Pr.24h.1"
-1.51631365070586	"LEP"	"3952"	0.0402329892991143	"E.Pr.24h.1"
-2.25796872546697	"IL2RA"	"3559"	0.0130498486452245	"E.Pr.24h.1"
-2.36833475051173	"IL1RN"	"3557"	0.000449192360007968	"E.Pr.24h.1"
-1.95125950348624	"IGF1"	"3479"	0.00235191297351442	"E.Pr.24h.1"
-2.04736327578218	"HLA-DRB4"	"3126"	0.00386629225198629	"E.Pr.24h.1"
-2.17828586106713	"HLA-DRB1"	"3123"	3.37018090359765e-05	"E.Pr.24h.1"
-1.88850163321825	"HLA-DPB1"	"3115"	0.000232827295426595	"E.Pr.24h.1"
-1.92422993144975	"GHRL"	"51738"	0.00203894086733318	"E.Pr.24h.1"
-1.52515384047777	"FCGR2A"	"2212"	0.0413251722298493	"E.Pr.24h.1"
-1.50824810126577	"EPX"	"8288"	0.0247464205249528	"E.Pr.24h.1"
-1.64617541251292	"CISH"	"1154"	0.00988205854299498	"E.Pr.24h.1"
-1.97331494220296	"CEACAM1"	"634"	0.000237888650053614	"E.Pr.24h.1"
-1.59410005476553	"CD27"	"939"	0.0177244805179341	"E.Pr.24h.1"
-1.55932117484444	"CCR7"	"1236"	0.007825221105717	"E.Pr.24h.1"
