"FC"	"Gene.Name"	"Gene.ID"	"P.Value"	"dataset"
2.33271716066007	"VWF"	"7450"	1	"E.Br.20h.1"
2.07885184757703	"VEGFA"	"7422"	1	"E.Br.20h.1"
2.13389807534758	"VCP"	"7415"	1	"E.Br.20h.1"
2.27148414601093	"TREM1"	"54210"	1	"E.Br.20h.1"
2.20291531620069	"TNF"	"7124"	1	"E.Br.20h.1"
2.05584532012527	"TLR4"	"7099"	1	"E.Br.20h.1"
3.95095427168241	"THBD"	"7056"	1	"E.Br.20h.1"
2.17286040780336	"SNCA"	"6622"	1	"E.Br.20h.1"
2.25418030816794	"SERPINE1"	"5054"	1	"E.Br.20h.1"
2.22690841235264	"PYCARD"	"29108"	1	"E.Br.20h.1"
2.10885663441198	"PTX3"	"5806"	1	"E.Br.20h.1"
2.22124919594449	"PTPN22"	"26191"	1	"E.Br.20h.1"
2.19896672947227	"PRDM1"	"639"	1	"E.Br.20h.1"
2.01498183789285	"PPARG"	"5468"	1	"E.Br.20h.1"
2.79288687018	"PLAUR"	"5329"	1	"E.Br.20h.1"
2.20855723556551	"P2RX7"	"5027"	1	"E.Br.20h.1"
2.03210415464195	"MIF"	"4282"	1	"E.Br.20h.1"
2.28777564143312	"LCK"	"3932"	1	"E.Br.20h.1"
2.18097682959716	"KIF3A"	"11127"	1	"E.Br.20h.1"
2.15291136057708	"ITGAX"	"3687"	1	"E.Br.20h.1"
2.35119001262788	"ITGAL"	"3683"	1	"E.Br.20h.1"
2.5308063288637	"IL6"	"3569"	1	"E.Br.20h.1"
2.53712432008915	"IL4"	"3565"	1	"E.Br.20h.1"
2.02892726135078	"IL22"	"50616"	1	"E.Br.20h.1"
2.23404723277299	"ICOS"	"29851"	1	"E.Br.20h.1"
2.01415312400839	"HSPD1"	"3329"	1	"E.Br.20h.1"
2.02851909121504	"HP"	"3240"	1	"E.Br.20h.1"
2.19357536794535	"HLA-DRB1"	"3123"	1	"E.Br.20h.1"
2.12154871349438	"HLA-DQB1"	"3119"	1	"E.Br.20h.1"
2.24982611741243	"GHRL"	"51738"	1	"E.Br.20h.1"
2.12459958911989	"FCGR1A"	"2209"	1	"E.Br.20h.1"
2.01771595358962	"ENO2"	"2026"	1	"E.Br.20h.1"
2.18003678158802	"CXCR2"	"3579"	1	"E.Br.20h.1"
2.06812936050117	"CXCL8"	"3576"	1	"E.Br.20h.1"
2.0597225267903	"CTLA4"	"1493"	1	"E.Br.20h.1"
2.23034697260214	"CREB1"	"1385"	1	"E.Br.20h.1"
2.41461577404291	"CD86"	"942"	1	"E.Br.20h.1"
2.40907265959645	"CD80"	"941"	1	"E.Br.20h.1"
2.1018297368371	"CD40LG"	"959"	1	"E.Br.20h.1"
2.54205024724703	"CD274"	"29126"	1	"E.Br.20h.1"
2.08193700145394	"CD209"	"30835"	1	"E.Br.20h.1"
2.24649221868188	"CCR7"	"1236"	1	"E.Br.20h.1"
2.09064892308581	"CCL5"	"6352"	1	"E.Br.20h.1"
2.0911076019608	"CCL4"	"6351"	1	"E.Br.20h.1"
2.16632637617428	"CCL22"	"6367"	1	"E.Br.20h.1"
2.09133059231672	"CCL11"	"6356"	1	"E.Br.20h.1"
2.06087922571346	"BPI"	"671"	1	"E.Br.20h.1"
2.40860998726265	"BCL2L11"	"10018"	1	"E.Br.20h.1"
2.39664734252875	"APOH"	"350"	1	"E.Br.20h.1"
2.20022542342482	"APOE"	"348"	1	"E.Br.20h.1"
2.13065055271735	"ACP1"	"52"	1	"E.Br.20h.1"
2.0826313185702	"ABCB1"	"5243"	1	"E.Br.20h.1"
1.48135267843979	"TREM1"	"54210"	0.0758991114825193	"E.Br.24h.2"
2.25260964055863	"THBD"	"7056"	0.0779860688087309	"E.Br.24h.2"
1.48135267843979	"TREM1"	"54210"	0.0758991114825193	"E.Br.24h.3"
2.25260964055863	"THBD"	"7056"	0.0779860688087309	"E.Br.24h.3"
1.39923957837161	"JUN"	"3725"	0.0212426241263682	"E.Br.30d.1"
1.3007414886044	"IL6"	"3569"	0.0591816235848864	"E.Br.30d.1"
2.16313840866334	"VCP"	"7415"	1	"E.Br.50h.1"
4.71606687034195	"TREM1"	"54210"	1	"E.Br.50h.1"
2.18286469739041	"TP53"	"7157"	1	"E.Br.50h.1"
2.51590884680921	"TNF"	"7124"	1	"E.Br.50h.1"
2.27892720365249	"TNC"	"3371"	1	"E.Br.50h.1"
2.13831242497236	"TLR4"	"7099"	1	"E.Br.50h.1"
2.24141335586132	"TLR1"	"7096"	1	"E.Br.50h.1"
11.0159554117456	"THBD"	"7056"	1	"E.Br.50h.1"
2.04870383930527	"SNCA"	"6622"	1	"E.Br.50h.1"
2.47164205914264	"SERPINE1"	"5054"	1	"E.Br.50h.1"
2.20917477927633	"PTX3"	"5806"	1	"E.Br.50h.1"
2.14070091990384	"PTPN22"	"26191"	1	"E.Br.50h.1"
2.06816690494243	"PTGS2"	"5743"	1	"E.Br.50h.1"
3.1546602098546	"PRDM1"	"639"	1	"E.Br.50h.1"
3.36483639655326	"PLAUR"	"5329"	1	"E.Br.50h.1"
2.06203728896591	"P2RX7"	"5027"	1	"E.Br.50h.1"
2.2274703792256	"LTA"	"4049"	1	"E.Br.50h.1"
2.07291729024939	"ITGAL"	"3683"	1	"E.Br.50h.1"
2.44058314550399	"IL6"	"3569"	1	"E.Br.50h.1"
2.15736209957848	"IL4"	"3565"	1	"E.Br.50h.1"
2.12163490372076	"IL22"	"50616"	1	"E.Br.50h.1"
2.17484283567202	"HSPD1"	"3329"	1	"E.Br.50h.1"
2.0877977493767	"HLA-DQB1"	"3119"	1	"E.Br.50h.1"
2.12514662857295	"GLO1"	"2739"	1	"E.Br.50h.1"
2.04215228593456	"FCGR1A"	"2209"	1	"E.Br.50h.1"
2.09819841350024	"ENO2"	"2026"	1	"E.Br.50h.1"
2.4082448329288	"CXCR2"	"3579"	1	"E.Br.50h.1"
2.47177286587295	"CXCL8"	"3576"	1	"E.Br.50h.1"
2.0264350720793	"CTLA4"	"1493"	1	"E.Br.50h.1"
2.35353663100869	"CREB1"	"1385"	1	"E.Br.50h.1"
2.18141034511414	"CD86"	"942"	1	"E.Br.50h.1"
2.32574191478491	"CD80"	"941"	1	"E.Br.50h.1"
2.06539699319706	"CD38"	"952"	1	"E.Br.50h.1"
2.96781748275482	"CD274"	"29126"	1	"E.Br.50h.1"
2.2376696054736	"CCL5"	"6352"	1	"E.Br.50h.1"
2.38735510575289	"CCL4"	"6351"	1	"E.Br.50h.1"
2.57624910467801	"CCL22"	"6367"	1	"E.Br.50h.1"
2.19098356312908	"CCL11"	"6356"	1	"E.Br.50h.1"
2.31593873169961	"BCL2L11"	"10018"	1	"E.Br.50h.1"
2.27569710538291	"APOH"	"350"	1	"E.Br.50h.1"
2.02093585246972	"ACP1"	"52"	1	"E.Br.50h.1"
2.14788862781412	"ABCB1"	"5243"	1	"E.Br.50h.1"
2.20970392487577	"VWF"	"7450"	1	"E.Br.8h.1"
2.08740383328814	"VEGFA"	"7422"	1	"E.Br.8h.1"
2.09114891930661	"VCP"	"7415"	1	"E.Br.8h.1"
2.08289698638168	"TREM1"	"54210"	1	"E.Br.8h.1"
2.06114851649028	"TNF"	"7124"	1	"E.Br.8h.1"
2.12314272660041	"TNC"	"3371"	1	"E.Br.8h.1"
2.09289572829319	"TLR4"	"7099"	1	"E.Br.8h.1"
4.38316483024387	"THBD"	"7056"	1	"E.Br.8h.1"
2.06413374627439	"SNCA"	"6622"	1	"E.Br.8h.1"
2.03387076701599	"SIVA1"	"10572"	1	"E.Br.8h.1"
2.36926930158192	"SERPINE1"	"5054"	1	"E.Br.8h.1"
2.06642647101428	"PTX3"	"5806"	1	"E.Br.8h.1"
2.37956292330028	"PTPN22"	"26191"	1	"E.Br.8h.1"
2.05289887067333	"PTGS2"	"5743"	1	"E.Br.8h.1"
2.07376228801358	"PRDM1"	"639"	1	"E.Br.8h.1"
2.98222253310155	"PLAUR"	"5329"	1	"E.Br.8h.1"
2.01743120470739	"NOD1"	"10392"	1	"E.Br.8h.1"
2.01031952770803	"MIF"	"4282"	1	"E.Br.8h.1"
2.29704897082629	"LCK"	"3932"	1	"E.Br.8h.1"
2.12233052617033	"KIF3A"	"11127"	1	"E.Br.8h.1"
2.19422265570844	"ITGAL"	"3683"	1	"E.Br.8h.1"
2.11596049693298	"IL6"	"3569"	1	"E.Br.8h.1"
2.11791703327121	"IL4"	"3565"	1	"E.Br.8h.1"
2.00125617651849	"IL22"	"50616"	1	"E.Br.8h.1"
2.39536654652902	"HSPD1"	"3329"	1	"E.Br.8h.1"
2.03845545971142	"HLA-DRB1"	"3123"	1	"E.Br.8h.1"
2.09850199939558	"HLA-DQB1"	"3119"	1	"E.Br.8h.1"
2.03387444927622	"HLA-A"	"3105"	1	"E.Br.8h.1"
2.09005089291049	"GZMA"	"3001"	1	"E.Br.8h.1"
2.09043287501962	"FCGR1A"	"2209"	1	"E.Br.8h.1"
2.04086459353475	"ENO2"	"2026"	1	"E.Br.8h.1"
2.15579007154842	"CXCR2"	"3579"	1	"E.Br.8h.1"
2.22555629956146	"CXCL8"	"3576"	1	"E.Br.8h.1"
2.10486235310987	"CTLA4"	"1493"	1	"E.Br.8h.1"
2.32133940747151	"CREB1"	"1385"	1	"E.Br.8h.1"
2.15299208532631	"CD86"	"942"	1	"E.Br.8h.1"
2.30081410980413	"CD80"	"941"	1	"E.Br.8h.1"
2.06171761975211	"CD40LG"	"959"	1	"E.Br.8h.1"
2.36017434363631	"CD274"	"29126"	1	"E.Br.8h.1"
2.00435356690555	"CD209"	"30835"	1	"E.Br.8h.1"
2.25244199386471	"CCL5"	"6352"	1	"E.Br.8h.1"
2.16615042423617	"CCL4"	"6351"	1	"E.Br.8h.1"
2.09613809674775	"CCL22"	"6367"	1	"E.Br.8h.1"
2.20875468581743	"CCL11"	"6356"	1	"E.Br.8h.1"
2.00581004602693	"BPI"	"671"	1	"E.Br.8h.1"
2.23833631493396	"BCL2L11"	"10018"	1	"E.Br.8h.1"
2.37889818880207	"APOH"	"350"	1	"E.Br.8h.1"
2.07835895732601	"APOE"	"348"	1	"E.Br.8h.1"
2.01651544191395	"ADA"	"100"	1	"E.Br.8h.1"
2.93869721177972	"TXNRD1"	"7296"	3.4662212386107e-06	"E.Corn.6h.1"
1.69299612968443	"TLR4"	"7099"	0.0133384124958799	"E.Corn.6h.1"
2.23079561320955	"THBD"	"7056"	2.29694658513136e-05	"E.Corn.6h.1"
1.66107414908374	"MVK"	"4598"	8.96286848295085e-05	"E.Corn.6h.1"
1.69983287534575	"MCL1"	"4170"	0.000165970995403552	"E.Corn.6h.1"
1.67394882700002	"IL1B"	"3553"	0.000152054830881125	"E.Corn.6h.1"
1.59876179287953	"IFNGR1"	"3459"	0.000535538607159765	"E.Corn.6h.1"
1.95747591505263	"HLA-DQB1"	"3119"	0.0337474535849544	"E.Corn.6h.1"
1.87307603226136	"HBEGF"	"1839"	2.91132217137482e-05	"E.Corn.6h.1"
3.220613996	"HBEGF"	"1839"	0.608172873	"E.HN.24h.1"
10.86848461	"ALOX5"	"240"	0.408474318	"E.HN.24h.1"
4.978500256	"CD274"	"29126"	0.408474318	"E.HN.24h.1"
6.459264166	"CD274"	"29126"	0.408474318	"E.HN.24h.1"
5.71385768	"MMP1"	"4312"	0.408474318	"E.HN.24h.1"
3.546175032	"PTGS2"	"5743"	0.408474318	"E.HN.24h.1"
3.717899243	"PTGS2"	"5743"	0.408474318	"E.HN.24h.1"
5.528292961	"TXNRD1"	"7296"	0.408474318	"E.HN.24h.1"
3.547641563	"CASP1"	"834"	0.408474318	"E.HN.24h.1"
4.398560543	"CASP1"	"834"	0.408474318	"E.HN.24h.1"
3.4299557	"CASP1"	"834"	0.408474318	"E.HN.24h.1"
3.779734131	"CASP1"	"834"	0.408474318	"E.HN.24h.1"
4.441284462	"CASP1"	"834"	0.408474318	"E.HN.24h.1"
3.092960078	"CD14"	"929"	0.608172873	"E.HN.24h.1"
3.434626548	"CD86"	"942"	0.408474318	"E.HN.24h.1"
3.522082315	"CD86"	"942"	0.408474318	"E.HN.24h.1"
2.29843401683397	"IFNGR1"	"3459"	0.00179809400881996	"E.Liv.36h.1"
2.44203336354161	"HP"	"3240"	0.00336214178194677	"E.Liv.36h.1"
1.53060102490022	"CD86"	"942"	0.0151038248252846	"E.Liv.36h.1"
1.62803031261052	"CASP1"	"834"	0.020364997128245	"E.Liv.36h.1"
1.55867970195893	"ACP1"	"52"	0.0254962806298523	"E.Liv.36h.1"
2.12317068690162	"ABCB1"	"5243"	0.00136939926882741	"E.Liv.36h.1"
1.57425971235844	"CD86"	"942"	0.022773780186501	"E.Liv.8h.1"
2.94128366188017	"TREM1"	"54210"	0.0280162797609906	"E.Lu.24h.1"
1.30589063505584	"TNFRSF1B"	"7133"	0.0467067486958703	"E.Lu.24h.1"
1.55438348405604	"PTGS2"	"5743"	0.0125600413496028	"E.Lu.24h.1"
1.59906966932217	"ALOX5"	"240"	0.0726911228798248	"E.Lu.24h.1"
1.70131608807927	"TNC"	"3371"	0.00515051541542026	"E.Pan.3d.1"
1.75023762081493	"THBD"	"7056"	0.0123494104344822	"E.Pan.3d.1"
6.58015080640082	"SAA1"	"6288"	0.004422814217682	"E.Pan.3d.1"
4.44690349651579	"PTGS2"	"5743"	5.10395127929218e-05	"E.Pan.3d.1"
5.14943053520415	"MMP13"	"4322"	2.06109339813451e-07	"E.Pan.3d.1"
1.5342017436509	"ABCB1"	"5243"	0.0218010808846825	"E.Pan.3d.1"
2.28261580804298	"VDR"	"7421"	0.00436925234953107	"E.Pan.7d.1"
1.61834229130734	"TNC"	"3371"	0.0129771405727192	"E.Pan.7d.1"
3.04126220956624	"TLR4"	"7099"	0.00273974340394317	"E.Pan.7d.1"
7.88638182275188	"PTGS2"	"5743"	0.000206630508887824	"E.Pan.7d.1"
1.68154109702677	"NINJ1"	"4814"	0.0274298316867856	"E.Pan.7d.1"
1.76985855671656	"MRC1"	"4360"	0.0262454351986964	"E.Pan.7d.1"
27.6821397135311	"MMP13"	"4322"	1.46656516101349e-07	"E.Pan.7d.1"
3.8724863128695	"ABCB1"	"5243"	8.57202063010368e-05	"E.Pan.7d.1"
1.82928003862823	"VWF"	"7450"	0.000206427870140315	"E.Pr.24h.1"
2.13763258241007	"TNF"	"7124"	1.73276923932682e-05	"E.Pr.24h.1"
2.14266349570813	"THBD"	"7056"	0.005064564075377	"E.Pr.24h.1"
1.61799992822501	"PTGS1"	"5742"	0.00379943877880929	"E.Pr.24h.1"
2.31058345675944	"MMP13"	"4322"	0.000121361086741645	"E.Pr.24h.1"
6.92148540064176	"MMP1"	"4312"	9.48617148698038e-07	"E.Pr.24h.1"
1.96088776762631	"IL8"	"3576"	0.0168828579815738	"E.Pr.24h.1"
4.13212273099124	"HBEGF"	"1839"	5.6453488470266e-07	"E.Pr.24h.1"
2.29380680447471	"DEFB1"	"1672"	0.00897192016624685	"E.Pr.24h.1"
1.78910477585825	"CD86"	"942"	0.0273662854839177	"E.Pr.24h.1"
1.5247459911337	"CASP1"	"834"	0.00875732956462679	"E.Pr.24h.1"
2.72000699492858	"CAMP"	"820"	3.86969793478135e-05	"E.Pr.24h.1"
2.3885022907503	"TREM1"	"54210"	4.27222904313335e-07	"E.Pr.24h.2"
5.11823449376426	"THBD"	"7056"	1.32097413204518e-08	"E.Pr.24h.2"
1.59937172479071	"SAA1"	"6288"	1.99559667744328e-05	"E.Pr.24h.2"
1.85141310603781	"PYCARD"	"29108"	6.3187494698959e-06	"E.Pr.24h.2"
1.98532426001535	"PTGS2"	"5743"	7.04805526722634e-05	"E.Pr.24h.2"
2.04608667985186	"CD274"	"29126"	7.86699512116892e-07	"E.Pr.24h.2"
