"FC"	"Gene.Name"	"Gene.ID"	"P.Value"	"dataset"
2.07885184757703	"VEGFA"	"7422"	1	"E.Br.20h.1"
2.27148414601093	"TREM1"	"54210"	1	"E.Br.20h.1"
2.69252001752779	"TNFSF13B"	"10673"	1	"E.Br.20h.1"
2.20798214770729	"TNFRSF9"	"3604"	1	"E.Br.20h.1"
2.14774785169754	"TNFRSF4"	"7293"	1	"E.Br.20h.1"
2.20291531620069	"TNF"	"7124"	1	"E.Br.20h.1"
2.05584532012527	"TLR4"	"7099"	1	"E.Br.20h.1"
2.36087932837376	"TIMP4"	"7079"	1	"E.Br.20h.1"
2.96678533909265	"THBS1"	"7057"	1	"E.Br.20h.1"
2.10531652513567	"TGFBR2"	"7048"	1	"E.Br.20h.1"
2.17286040780336	"SNCA"	"6622"	1	"E.Br.20h.1"
2.11978227610515	"SMAD3"	"4088"	1	"E.Br.20h.1"
2.250428009939	"SMAD2"	"4087"	1	"E.Br.20h.1"
2.23931543868514	"SKI"	"6497"	1	"E.Br.20h.1"
2.19752198352747	"SFTPD"	"6441"	1	"E.Br.20h.1"
2.15530487681419	"RRP9"	"9136"	1	"E.Br.20h.1"
2.14844707177961	"ROCK1"	"6093"	1	"E.Br.20h.1"
2.09586049386078	"RBFOX2"	"23543"	1	"E.Br.20h.1"
2.10885663441198	"PTX3"	"5806"	1	"E.Br.20h.1"
2.12606587884945	"PTPRC"	"5788"	1	"E.Br.20h.1"
2.22124919594449	"PTPN22"	"26191"	1	"E.Br.20h.1"
2.01807410357911	"PMAIP1"	"5366"	1	"E.Br.20h.1"
2.79288687018	"PLAUR"	"5329"	1	"E.Br.20h.1"
2.19662693819436	"PDGFRA"	"5156"	1	"E.Br.20h.1"
2.00476405483519	"PAK2"	"5062"	1	"E.Br.20h.1"
2.1120081461123	"MUC1"	"4582"	1	"E.Br.20h.1"
2.09741958752025	"MSRA"	"4482"	1	"E.Br.20h.1"
2.34930467650092	"MMP2"	"4313"	1	"E.Br.20h.1"
2.03210415464195	"MIF"	"4282"	1	"E.Br.20h.1"
2.20434699054326	"INSR"	"3643"	1	"E.Br.20h.1"
2.5308063288637	"IL6"	"3569"	1	"E.Br.20h.1"
2.53712432008915	"IL4"	"3565"	1	"E.Br.20h.1"
3.55299878770931	"IGFBP3"	"3486"	1	"E.Br.20h.1"
2.02851909121504	"HP"	"3240"	1	"E.Br.20h.1"
2.19357536794535	"HLA-DRB1"	"3123"	1	"E.Br.20h.1"
2.8072168729666	"FOSL2"	"2355"	1	"E.Br.20h.1"
2.08221837930272	"EDN1"	"1906"	1	"E.Br.20h.1"
2.89329232180125	"CX3CL1"	"6376"	1	"E.Br.20h.1"
2.0597225267903	"CTLA4"	"1493"	1	"E.Br.20h.1"
2.14420477763456	"CD40"	"958"	1	"E.Br.20h.1"
2.07630565386545	"CD226"	"10666"	1	"E.Br.20h.1"
2.24649221868188	"CCR7"	"1236"	1	"E.Br.20h.1"
2.02822198840874	"CCL7"	"6354"	1	"E.Br.20h.1"
2.08384234587108	"CCL18"	"6362"	1	"E.Br.20h.1"
2.23188102773769	"CASP8"	"841"	1	"E.Br.20h.1"
2.06087922571346	"BPI"	"671"	1	"E.Br.20h.1"
2.01520526660538	"BLK"	"640"	1	"E.Br.20h.1"
2.40860998726265	"BCL2L11"	"10018"	1	"E.Br.20h.1"
2.15294226334963	"AIF1"	"199"	1	"E.Br.20h.1"
2.51736142322951	"AHSG"	"197"	1	"E.Br.20h.1"
