"FC"	"Gene.Name"	"Gene.ID"	"P.Value"	"dataset"
"15401"	-1.55782177374198	"ZNF326"	"284695"	0.000155771282003561	"E.Br.24h.1"
"15025"	-1.52701417913563	"WWC1"	"23286"	0.000296028757796805	"E.Br.24h.1"
"14059"	-1.52393129950464	"TOP2A"	"7153"	0.00667048670154944	"E.Br.24h.1"
"13859"	-1.68969988469973	"TMEM2"	"23670"	0.000433651309861867	"E.Br.24h.1"
"13753"	-1.52162378799565	"TMCC3"	"57458"	0.000702529647550168	"E.Br.24h.1"
"13710"	-1.6717831234566	"TLN2"	"83660"	8.24856172915031e-05	"E.Br.24h.1"
"13373"	-1.60667683263289	"TAS2R41"	"259287"	0.0270330260461031	"E.Br.24h.1"
"12831"	-1.54901637208597	"SPAG5"	"10615"	0.000311521729353077	"E.Br.24h.1"
"12571"	-2.00258689611851	"SLC8A1"	"6546"	0.000201279394471858	"E.Br.24h.1"
"12531"	-1.83852028135795	"SLC5A3"	"6526"	0.000306360092176129	"E.Br.24h.1"
"12502"	-1.76256145002926	"SLC44A3"	"126969"	0.000300099780627974	"E.Br.24h.1"
"12239"	-1.54920378170184	"SKP2"	"6502"	0.000417824064433954	"E.Br.24h.1"
"12155"	-1.7425319587521	"SHCBP1"	"79801"	4.46060424326558e-05	"E.Br.24h.1"
"11951"	-1.98569112372602	"SEMA3D"	"223117"	0.00350134206474103	"E.Br.24h.1"
"11547"	-1.65479603254485	"RPL23AP32"	"56969"	0.00149630773786664	"E.Br.24h.1"
"11101"	-1.54651672683292	"RASL11B"	"65997"	0.0161617430586211	"E.Br.24h.1"
"10946"	-1.68663340401835	"RAB30"	"27314"	0.000596737295951425	"E.Br.24h.1"
"10213"	-1.59838853916929	"PLK1"	"5347"	0.000788951964111189	"E.Br.24h.1"
"9965"	-1.60857180247501	"PHF19"	"26147"	0.00225880715213868	"E.Br.24h.1"
"9955"	-1.69007719916082	"PHC1"	"1911"	0.00158822845028201	"E.Br.24h.1"
"9688"	-1.53534834901485	"PBK"	"55872"	0.00946860791023561	"E.Br.24h.1"
"9647"	-1.6035213377817	"PARD6B"	"84612"	0.0250237851297312	"E.Br.24h.1"
"9636"	-1.61610201675226	"PAPSS2"	"9060"	0.00014526054533277	"E.Br.24h.1"
"9326"	-1.55258045250985	"OR4M2"	"390538"	0.0238922350990639	"E.Br.24h.1"
"9253"	-1.56715851899031	"OR1L4"	"254973"	0.0020560770608626	"E.Br.24h.1"
"9204"	-1.74961631882307	"OR10G9"	"219870"	0.0403121038396047	"E.Br.24h.1"
"9172"	-1.75181880101351	"OLR1"	"4973"	9.99553820032102e-05	"E.Br.24h.1"
"8661"	-1.50312516053552	"NEBL"	"10529"	0.000355912980468682	"E.Br.24h.1"
"8570"	-1.50587911804842	"NCAPH"	"23397"	0.00101000071080201	"E.Br.24h.1"
"8396"	-1.51111260757503	"MYCBP2"	"23077"	0.00383049826422167	"E.Br.24h.1"
"8091"	-2.60369831382962	"MMP7"	"4316"	0.000252321126612745	"E.Br.24h.1"
"8025"	-1.70865815598681	"MKI67"	"4288"	0.000401899825672083	"E.Br.24h.1"
"7397"	-1.76736141016892	"LPAR3"	"23566"	0.00107043594126922	"E.Br.24h.1"
"7366"	-1.52022075734936	"LMNB1"	"4001"	0.00299533746041099	"E.Br.24h.1"
"7319"	-1.68442502951631	"LIMA1"	"51474"	0.00015076745403842	"E.Br.24h.1"
"7280"	-1.66831071094035	"LGI2"	"55203"	0.0106252662832359	"E.Br.24h.1"
"6951"	-2.30722577567187	"KLHL13"	"90293"	1.66860151864011e-06	"E.Br.24h.1"
"6911"	-1.76078895659175	"KITLG"	"4254"	0.00118122309153072	"E.Br.24h.1"
"6872"	-1.58434523189645	"KIF20A"	"10112"	0.000100175671433254	"E.Br.24h.1"
"6859"	-1.59084996399532	"KIF11"	"3832"	0.00376729624397916	"E.Br.24h.1"
"6801"	-1.52368249501021	"KDELC1"	"79070"	0.00105425948645728	"E.Br.24h.1"
"6376"	-1.68454261562264	"IL1RAP"	"3556"	4.81857402499706e-05	"E.Br.24h.1"
"6005"	-1.54230359744403	"HNRNPM"	"4670"	0.00213041140621164	"E.Br.24h.1"
"5975"	-1.69558406759395	"HMGCS1"	"3157"	7.26359615196752e-05	"E.Br.24h.1"
"5974"	-1.54286470161353	"HMGCR"	"3156"	0.000243419535373202	"E.Br.24h.1"
"5916"	-1.61560431151692	"HIST1H4B"	"8366"	0.0352500009008966	"E.Br.24h.1"
"5915"	-1.51973045179027	"HIST1H4A"	"8359"	0.0360384617161221	"E.Br.24h.1"
"5910"	-1.64046701111834	"HIST1H3F"	"8968"	0.0123379128390289	"E.Br.24h.1"
