"FC"	"Gene.Name"	"Gene.ID"	"P.Value"	"dataset"
2.02978979809316	"ZZZ3"	"26009"	1	"E.Br.20h.1"
2.17113336437693	"ZYG11A"	"440590"	1	"E.Br.20h.1"
2.06409088118914	"ZXDC"	"79364"	1	"E.Br.20h.1"
2.01203883060604	"ZSWIM2"	"151112"	1	"E.Br.20h.1"
2.01025881859958	"ZSWIM1"	"90204"	1	"E.Br.20h.1"
2.02721132727705	"ZSCAN9"	"7746"	1	"E.Br.20h.1"
2.47270356158818	"ZSCAN4"	"201516"	1	"E.Br.20h.1"
2.20728954696465	"ZSCAN23"	"222696"	1	"E.Br.20h.1"
2.07848549806997	"ZSCAN12"	"9753"	1	"E.Br.20h.1"
2.40710182977431	"ZRSR2"	"8233"	1	"E.Br.20h.1"
2.35543935567395	"ZRANB3"	"84083"	1	"E.Br.20h.1"
2.0674825961155	"ZRANB1"	"54764"	1	"E.Br.20h.1"
2.3993802376639	"ZPBP2"	"124626"	1	"E.Br.20h.1"
2.11268749689514	"ZNRF3"	"84133"	1	"E.Br.20h.1"
2.173738615098	"ZNRF2"	"223082"	1	"E.Br.20h.1"
2.14852165106139	"ZNRD1"	"30834"	1	"E.Br.20h.1"
2.02349194997057	"ZNHIT6"	"54680"	1	"E.Br.20h.1"
2.00930438424405	"ZNHIT1"	"10467"	1	"E.Br.20h.1"
2.1337622882711	"ZNF99"	"7652"	1	"E.Br.20h.1"
2.03228135118005	"ZNF92"	"168374"	1	"E.Br.20h.1"
2.24623171225958	"ZNF91"	"7644"	1	"E.Br.20h.1"
2.21107166034205	"ZNF880"	"400713"	1	"E.Br.20h.1"
2.35409019066559	"ZNF846"	"162993"	1	"E.Br.20h.1"
2.20159836793468	"ZNF843"	"283933"	1	"E.Br.20h.1"
2.15685963024732	"ZNF839"	"55778"	1	"E.Br.20h.1"
2.04701812289204	"ZNF836"	"162962"	1	"E.Br.20h.1"
2.01727185065066	"ZNF835"	"90485"	1	"E.Br.20h.1"
2.08123294436973	"ZNF831"	"128611"	1	"E.Br.20h.1"
2.03772636143159	"ZNF830"	"91603"	1	"E.Br.20h.1"
2.30603769179315	"ZNF83"	"55769"	1	"E.Br.20h.1"
2.1416195416763	"ZNF827"	"152485"	1	"E.Br.20h.1"
2.06453536908554	"ZNF823"	"55552"	1	"E.Br.20h.1"
2.01082878993519	"ZNF821"	"55565"	1	"E.Br.20h.1"
